Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7426729,9.8030777,9.5511036,17.85
2,5.7506785,9.7758026,9.6469402,17.87
3,5.7408910,9.8091640,9.6427546,17.83
4,5.7389498,9.8158016,9.5520458,17.88
5,5.7485976,9.7828808,9.5241318,17.88
6,5.7446938,9.7961817,9.5220785,17.87
7,5.7396517,9.8134003,9.4966087,17.88
8,5.7466898,9.7893782,9.4867401,17.88
9,5.7490373,9.7813854,9.5804224,17.86
10,5.7391696,9.8150492,9.5532618,17.81
11,5.7411156,9.8083963,9.4540920,17.78
12,5.7484789,9.7832851,9.4452209,17.85
13,5.7435741,9.8000011,9.4431381,17.77
14,5.7395382,9.8137884,9.4107742,17.76
15,5.7488179,9.7821312,9.4331245,17.74
16,5.7474408,9.7868204,9.5072002,17.76
17,5.7373171,9.8213882,9.4694471,17.78
18,5.7449980,9.7951441,9.3701010,17.80
19,5.7472863,9.7873459,9.3722467,17.82
20,5.7423644,9.8041306,9.3648920,17.86
21,5.7397599,9.8130302,9.3283768,17.85
22,5.7503843,9.7768030,9.3890495,17.87
23,5.7454576,9.7935772,9.4349136,17.90
24,5.7374940,9.8207827,9.3763132,17.85
25,5.7470064,9.7882996,9.2961702,17.90
26,5.7460523,9.7915506,9.3007774,17.87
27,5.7421131,9.8049889,9.2836990,17.85
28,5.7409759,9.8088741,9.2509851,17.79
29,5.7506452,9.7759161,9.3338890,17.75
30,5.7434025,9.8005867,9.3558416,17.75
31,5.7371860,9.8218374,9.2751503,17.74
32,5.7482762,9.7839756,9.2332573,17.76
