Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7439594,9.7986870,9.4916639,16.34
2,5.7441726,9.7979593,9.4791975,16.33
3,5.7436304,9.7998095,9.4670105,16.30
4,5.7434964,9.8002663,9.4556389,16.30
5,5.7434869,9.8002996,9.4448223,16.38
6,5.7438102,9.7991962,9.4353981,16.29
7,5.7438416,9.7990885,9.4223661,16.27
8,5.7439413,9.7987480,9.4115934,16.25
9,5.7441468,9.7980471,9.4004393,16.25
10,5.7435212,9.8001814,9.3882322,16.26
11,5.7436948,9.7995901,9.3779831,16.23
12,5.7435875,9.7999554,9.3667936,16.24
13,5.7438455,9.7990751,9.3592577,16.23
14,5.7440910,9.7982378,9.3462543,16.23
15,5.7438803,9.7989569,9.3359108,16.23
16,5.7440572,9.7983532,9.3249226,16.28
17,5.7433920,9.8006229,9.3123817,16.23
18,5.7436752,9.7996569,9.3035326,16.25
19,5.7435551,9.8000660,9.2915354,16.28
20,5.7437639,9.7993536,9.2831211,16.26
21,5.7440166,9.7984915,9.2719603,16.29
22,5.7439327,9.7987776,9.2611485,16.26
23,5.7439184,9.7988262,9.2496548,16.30
24,5.7432632,9.8010626,9.2376900,16.28
25,5.7435822,9.7999744,9.2291651,16.32
26,5.7436008,9.7999105,9.2173901,16.36
27,5.7436876,9.7996140,9.2071009,16.32
28,5.7439690,9.7986546,9.1970291,16.31
29,5.7440367,9.7984228,9.1847210,16.33
30,5.7436867,9.7996168,9.1724291,16.29
31,5.7433381,9.8008070,9.1604176,16.30
32,5.7435198,9.8001871,9.1511526,16.32
