Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7429733,9.8020515,9.5343599,18.88
2,5.7487373,9.7824059,9.6091385,18.84
3,5.7423148,9.8043003,9.6092234,18.89
4,5.7400489,9.8120422,9.5327616,18.86
5,5.7481146,9.7845249,9.5108089,18.85
6,5.7445130,9.7967987,9.4986143,18.85
7,5.7406831,9.8098745,9.4786358,18.89
8,5.7450047,9.7951212,9.4692335,18.85
9,5.7483816,9.7836161,9.5441990,18.86
10,5.7405920,9.8101864,9.5284052,18.90
11,5.7421980,9.8046999,9.4417868,18.90
12,5.7476282,9.7861814,9.4353218,18.88
13,5.7439480,9.7987261,9.4242668,18.88
14,5.7403603,9.8109779,9.3981886,18.88
15,5.7470903,9.7880135,9.4139595,18.91
16,5.7465219,9.7899494,9.4730120,18.91
17,5.7394953,9.8139353,9.4432468,18.91
18,5.7439079,9.7988625,9.3556995,18.94
19,5.7472277,9.7875452,9.3582926,18.89
20,5.7434077,9.8005695,9.3452234,18.89
21,5.7402878,9.8112259,9.3191404,18.86
22,5.7485437,9.7830648,9.3535748,18.85
23,5.7451305,9.7946920,9.4009752,18.86
24,5.7394094,9.8142290,9.3485651,18.91
25,5.7459335,9.7919550,9.2865524,18.83
26,5.7457376,9.7926235,9.2843027,18.85
27,5.7428951,9.8023186,9.2701979,18.86
28,5.7405939,9.8101797,9.2415247,18.86
29,5.7491636,9.7809553,9.3031235,18.86
30,5.7439165,9.7988329,9.3263359,18.80
31,5.7388830,9.8160295,9.2610645,18.93
32,5.7482290,9.7841358,9.2133446,18.91
