Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7444925,9.7968683,9.4771843,22.79
2,5.7465849,9.7897358,9.4741535,22.77
3,5.7428308,9.8025389,9.4634504,22.77
4,5.7431569,9.8014250,9.4385948,22.77
5,5.7455530,9.7932520,9.4540844,22.79
6,5.7444115,9.7971449,9.4659023,22.84
7,5.7429161,9.8022470,9.4357920,22.86
8,5.7453556,9.7939253,9.4020548,22.86
9,5.7464323,9.7902546,9.4027987,22.88
10,5.7424450,9.8038559,9.3854313,22.87
11,5.7435431,9.8001070,9.3648310,22.86
12,5.7460346,9.7916107,9.3845587,22.86
13,5.7444458,9.7970276,9.3911333,22.90
14,5.7431993,9.8012800,9.3550177,22.87
15,5.7456594,9.7928896,9.3299866,22.87
16,5.7458553,9.7922211,9.3337116,22.94
17,5.7419424,9.8055725,9.3106022,22.93
18,5.7441559,9.7980165,9.3013048,22.98
19,5.7455397,9.7932978,9.3226671,22.98
20,5.7438803,9.7989569,9.3203173,22.95
21,5.7431135,9.8015738,9.2777157,22.95
22,5.7464647,9.7901449,9.2591152,22.88
23,5.7450256,9.7950497,9.2621384,22.89
24,5.7419271,9.8056240,9.2365437,22.86
25,5.7447934,9.7958422,9.2290382,22.83
26,5.7451048,9.7947798,9.2557354,22.82
27,5.7439713,9.7986460,9.2470655,22.84
28,5.7435079,9.8002281,9.2004910,22.77
29,5.7467999,9.7890024,9.1894217,22.82
30,5.7441196,9.7981396,9.1885691,22.80
31,5.7420759,9.8051157,9.1600552,22.78
32,5.7455339,9.7933168,9.1615772,22.76
