Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7446575,9.7963057,9.4879265,18.52
2,5.7459779,9.7918043,9.4831619,18.60
3,5.7425194,9.8036022,9.4714813,18.54
4,5.7429552,9.8021145,9.4509621,18.56
5,5.7452850,9.7941656,9.4659433,18.56
6,5.7441874,9.7979088,9.4729929,18.56
7,5.7424822,9.8037291,9.4472952,18.53
8,5.7450695,9.7949009,9.4147358,18.54
9,5.7458868,9.7921143,9.4111395,18.54
10,5.7422605,9.8044863,9.3919582,18.53
11,5.7430239,9.8018789,9.3778543,18.58
12,5.7456083,9.7930632,9.3954439,18.60
13,5.7438874,9.7989330,9.3966675,18.57
14,5.7428398,9.8025074,9.3620043,18.54
15,5.7451811,9.7945194,9.3392172,18.60
16,5.7454638,9.7935553,9.3362532,18.57
17,5.7420864,9.8050804,9.3137169,18.58
18,5.7435169,9.8001966,9.3045559,18.59
19,5.7452288,9.7943573,9.3252573,18.60
20,5.7436504,9.7997408,9.3198557,18.63
21,5.7430892,9.8016567,9.2771320,18.66
22,5.7459412,9.7919292,9.2621584,18.66
23,5.7447486,9.7959948,9.2619648,18.68
24,5.7420940,9.8050547,9.2396097,18.72
25,5.7448092,9.7957878,9.2317476,18.75
26,5.7445993,9.7965040,9.2572947,18.66
27,5.7434864,9.8003006,9.2456951,18.70
28,5.7432346,9.8011599,9.2016001,18.73
29,5.7460351,9.7916088,9.1914749,18.69
30,5.7433782,9.8006706,9.1881142,18.69
31,5.7422380,9.8045626,9.1652699,18.70
32,5.7451043,9.7947817,9.1656303,18.65
