Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7440591,9.7983465,9.4774246,19.06
2,5.7441306,9.7981024,9.4690342,19.08
3,5.7438369,9.7991047,9.4563198,19.09
4,5.7440996,9.7982092,9.4458113,19.09
5,5.7438478,9.7990675,9.4348097,19.05
6,5.7440615,9.7983389,9.4214554,19.04
7,5.7438827,9.7989483,9.4091492,19.04
8,5.7440834,9.7982635,9.3981113,19.02
9,5.7440062,9.7985277,9.3892841,19.02
10,5.7439466,9.7987309,9.3760681,19.00
11,5.7441249,9.7981224,9.3665695,19.02
12,5.7438455,9.7990751,9.3542442,18.92
13,5.7440448,9.7983952,9.3420858,18.98
14,5.7439623,9.7986765,9.3307276,18.97
15,5.7441807,9.7979317,9.3204756,18.95
16,5.7439723,9.7986431,9.3105488,18.96
17,5.7441273,9.7981148,9.2979431,18.97
18,5.7441273,9.7981148,9.2892113,18.91
19,5.7439628,9.7986755,9.2764034,18.95
20,5.7440743,9.7982950,9.2655296,18.91
21,5.7439280,9.7987947,9.2542963,18.90
22,5.7441854,9.7979155,9.2448092,18.89
23,5.7440119,9.7985077,9.2337542,18.92
24,5.7441545,9.7980213,9.2223959,18.92
25,5.7440290,9.7984495,9.2130194,18.90
26,5.7439814,9.7986116,9.1997166,18.89
27,5.7440300,9.7984457,9.1888676,18.92
28,5.7439399,9.7987537,9.1779232,18.86
29,5.7440920,9.7982340,9.1699352,18.92
30,5.7438145,9.7991810,9.1573153,18.88
31,5.7441263,9.7981176,9.1466417,18.90
32,5.7439270,9.7987976,9.1372328,18.92
