Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7442040,9.7978516,9.4889202,23.02
2,5.7445607,9.7966356,9.4772425,22.99
3,5.7443776,9.7972603,9.4664860,23.00
4,5.7443519,9.7973480,9.4565821,22.97
5,5.7445431,9.7966957,9.4497080,22.94
6,5.7443905,9.7972164,9.4371815,22.85
7,5.7443795,9.7972536,9.4285040,22.74
8,5.7442665,9.7976389,9.4162102,22.76
9,5.7444658,9.7969589,9.4063272,22.74
10,5.7443342,9.7974081,9.3961287,22.69
11,5.7446308,9.7963963,9.3873329,22.69
12,5.7442904,9.7975578,9.3790960,22.67
13,5.7444820,9.7969036,9.3666868,22.65
14,5.7442484,9.7977009,9.3573427,22.65
15,5.7443647,9.7973042,9.3444729,22.59
16,5.7445850,9.7965527,9.3352795,22.63
17,5.7443705,9.7972841,9.3248987,22.62
18,5.7446337,9.7963867,9.3158855,22.62
19,5.7444019,9.7971773,9.3076868,22.63
20,5.7446494,9.7963333,9.2982502,22.66
21,5.7443762,9.7972651,9.2897491,22.65
22,5.7446742,9.7962484,9.2776384,22.58
23,5.7445655,9.7966194,9.2686253,22.60
24,5.7444220,9.7971087,9.2587452,22.59
25,5.7447414,9.7960186,9.2528944,22.57
26,5.7445269,9.7967510,9.2427788,22.54
27,5.7447128,9.7961168,9.2343235,22.55
28,5.7443256,9.7974377,9.2247934,22.55
29,5.7445173,9.7967834,9.2103500,22.55
30,5.7444382,9.7970533,9.1996698,22.53
31,5.7443352,9.7974052,9.1904345,22.51
32,5.7447100,9.7961264,9.1847677,22.52
