Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7444940,9.7968636,9.4873409,23.94
2,5.7452278,9.7943602,9.5025816,23.93
3,5.7437148,9.7995214,9.4925566,23.88
4,5.7443533,9.7973433,9.4581404,23.92
5,5.7455425,9.7932873,9.4465532,23.83
6,5.7443581,9.7973270,9.4396076,23.85
7,5.7434111,9.8005581,9.4259443,23.82
8,5.7451801,9.7945232,9.4193888,23.80
9,5.7448692,9.7955837,9.4363089,23.77
10,5.7433357,9.8008146,9.4213686,23.82
11,5.7448864,9.7955246,9.3920784,23.81
12,5.7452188,9.7943916,9.3796635,23.87
13,5.7439666,9.7986622,9.3710985,23.86
14,5.7435060,9.8002348,9.3568754,23.88
15,5.7453127,9.7940712,9.3558445,23.92
16,5.7444477,9.7970209,9.3676834,23.90
17,5.7433076,9.8009109,9.3456974,23.91
18,5.7451630,9.7945814,9.3224459,23.92
19,5.7451973,9.7944651,9.3119097,23.91
20,5.7437644,9.7993526,9.3005819,23.93
21,5.7436895,9.7996073,9.2898188,23.93
22,5.7454271,9.7936811,9.2975845,23.94
23,5.7443924,9.7972097,9.3015137,23.98
24,5.7434559,9.8004045,9.2719898,23.92
25,5.7451191,9.7947321,9.2550011,23.93
26,5.7449250,9.7953930,9.2446604,23.93
27,5.7435627,9.8000402,9.2311783,23.91
28,5.7437582,9.7993736,9.2246151,23.90
29,5.7455935,9.7931137,9.2358246,23.93
30,5.7443085,9.7974958,9.2318439,23.92
31,5.7434416,9.8004541,9.1982594,23.93
32,5.7453427,9.7939682,9.1867933,23.93
