Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7436409,9.7997732,9.4856930,23.21
2,5.7443533,9.7973433,9.4776497,23.20
3,5.7445078,9.7968159,9.4724226,23.17
4,5.7442198,9.7977982,9.4564686,23.19
5,5.7445688,9.7966080,9.4449234,23.18
6,5.7449236,9.7953987,9.4344521,23.16
7,5.7440505,9.7983761,9.4216728,23.18
8,5.7439871,9.7985926,9.4101601,23.16
9,5.7441874,9.7979088,9.4008570,23.12
10,5.7445121,9.7968016,9.3979969,23.15
11,5.7445631,9.7966270,9.3810425,23.17
12,5.7447133,9.7961149,9.3712006,23.10
13,5.7448111,9.7957811,9.3620119,23.10
14,5.7440367,9.7984228,9.3504267,23.12
15,5.7442265,9.7977762,9.3402634,23.07
16,5.7442827,9.7975836,9.3303556,23.09
17,5.7442098,9.7978325,9.3265095,23.12
18,5.7443523,9.7973471,9.3101988,23.16
19,5.7446647,9.7962809,9.2990856,23.14
20,5.7443552,9.7973366,9.2867928,23.13
21,5.7439423,9.7987452,9.2740555,23.12
22,5.7443037,9.7975121,9.2645292,23.12
23,5.7443981,9.7971907,9.2544107,23.06
24,5.7442732,9.7976170,9.2482958,23.04
25,5.7443514,9.7973499,9.2338934,23.03
26,5.7449861,9.7951851,9.2227011,23.05
27,5.7442727,9.7976179,9.2109222,23.06
28,5.7437420,9.7994289,9.1978521,23.06
29,5.7443190,9.7974596,9.1913137,23.09
30,5.7446008,9.7964983,9.1816216,23.08
31,5.7440543,9.7983627,9.1711483,23.10
32,5.7443838,9.7972393,9.1577749,23.10
