Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7440748,9.7982931,9.4763756,18.20
2,5.7441101,9.7981730,9.4653406,18.18
3,5.7441316,9.7980995,9.4573660,18.15
4,5.7440233,9.7984686,9.4462938,18.17
5,5.7441416,9.7980652,9.4359379,18.16
6,5.7439299,9.7987881,9.4244452,18.19
7,5.7440748,9.7982931,9.4118023,18.15
8,5.7440057,9.7985287,9.4016838,18.12
9,5.7441230,9.7981291,9.3913336,18.12
10,5.7440386,9.7984161,9.3828001,18.11
11,5.7440262,9.7984591,9.3715649,18.07
12,5.7440276,9.7984543,9.3615322,18.10
13,5.7439337,9.7987747,9.3490133,18.09
14,5.7440977,9.7982149,9.3378096,18.09
15,5.7440920,9.7982340,9.3269415,18.11
16,5.7441525,9.7980280,9.3177614,18.08
17,5.7440510,9.7983751,9.3079739,18.07
18,5.7440968,9.7982187,9.2968645,18.11
19,5.7440863,9.7982540,9.2868776,18.04
20,5.7439890,9.7985859,9.2738552,18.10
21,5.7441721,9.7979612,9.2629375,18.11
22,5.7440596,9.7983446,9.2520695,18.16
23,5.7442336,9.7977514,9.2430744,18.08
24,5.7440233,9.7984686,9.2328310,18.12
25,5.7440825,9.7982674,9.2222481,18.09
26,5.7439885,9.7985878,9.2124023,18.09
27,5.7439709,9.7986479,9.1993532,18.07
28,5.7440915,9.7982359,9.1885948,18.09
29,5.7440348,9.7984295,9.1780596,18.07
30,5.7441273,9.7981148,9.1698160,18.11
31,5.7439976,9.7985563,9.1590290,18.11
32,5.7441006,9.7982054,9.1485653,18.13
