Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7442551,9.7976780,9.4909220,22.40
2,5.7445879,9.7965431,9.4789705,22.39
3,5.7444172,9.7971249,9.4687538,22.36
4,5.7441626,9.7979937,9.4587517,22.37
5,5.7445517,9.7966671,9.4528465,22.36
6,5.7442913,9.7975540,9.4411116,22.33
7,5.7445507,9.7966700,9.4322224,22.37
8,5.7442560,9.7976751,9.4233856,22.38
9,5.7445593,9.7966404,9.4122715,22.35
10,5.7442994,9.7975264,9.4024601,22.32
11,5.7442575,9.7976704,9.3930693,22.30
12,5.7444148,9.7971334,9.3867207,22.30
13,5.7443552,9.7973366,9.3750792,22.25
14,5.7445498,9.7966738,9.3668156,22.29
15,5.7443161,9.7974701,9.3563099,22.27
16,5.7446690,9.7962666,9.3463821,22.32
17,5.7442532,9.7976847,9.3370314,22.30
18,5.7443738,9.7972727,9.3280029,22.27
19,5.7442889,9.7975626,9.3208361,22.25
20,5.7443686,9.7972908,9.3104076,22.29
21,5.7444868,9.7968874,9.3026123,22.33
22,5.7443085,9.7974958,9.2911348,22.30
23,5.7445288,9.7967443,9.2814150,22.34
24,5.7441406,9.7980680,9.2710390,22.33
25,5.7444515,9.7970085,9.2628298,22.34
26,5.7442679,9.7976341,9.2541475,22.35
27,5.7443829,9.7972422,9.2446194,22.38
28,5.7443428,9.7973785,9.2370262,22.34
29,5.7444572,9.7969885,9.2254124,22.36
30,5.7444382,9.7970533,9.2155018,22.35
31,5.7441373,9.7980804,9.2051220,22.35
32,5.7445154,9.7967901,9.1989374,22.37
