Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7440162,9.7984934,9.4991550,17.28
2,5.7445869,9.7965460,9.5237312,17.28
3,5.7431598,9.8014154,9.5128975,17.30
4,5.7430344,9.8018436,9.4693470,17.29
5,5.7456417,9.7929497,9.4566946,17.30
6,5.7433858,9.8006439,9.4549885,17.26
7,5.7420034,9.8053637,9.4311142,17.26
8,5.7448559,9.7956285,9.4292278,17.29
9,5.7442007,9.7978640,9.4513359,17.23
10,5.7427506,9.8028116,9.4348555,17.25
11,5.7436142,9.7998648,9.3937197,17.22
12,5.7459865,9.7917747,9.3863888,17.21
13,5.7422175,9.8046322,9.3770504,17.18
14,5.7428398,9.8025074,9.3583374,17.18
15,5.7450027,9.7951279,9.3663960,17.16
16,5.7440481,9.7983847,9.3766165,17.17
17,5.7421083,9.8050051,9.3542175,17.10
18,5.7448435,9.7956715,9.3208618,17.16
19,5.7455797,9.7931614,9.3150549,17.13
20,5.7420006,9.8053732,9.2995396,17.11
21,5.7428999,9.8023033,9.2840242,17.09
22,5.7451658,9.7945728,9.3009739,17.16
23,5.7436085,9.7998838,9.3047323,17.18
24,5.7426825,9.8030453,9.2753954,17.20
25,5.7446804,9.7962275,9.2479191,17.21
26,5.7450709,9.7948952,9.2445822,17.23
27,5.7424474,9.8038483,9.2256126,17.21
28,5.7430515,9.8017845,9.2156448,17.18
29,5.7451425,9.7946520,9.2324800,17.20
30,5.7435226,9.8001776,9.2310276,17.21
31,5.7426705,9.8030853,9.1923141,17.18
32,5.7451806,9.7945223,9.1762304,17.25
