Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7447033,9.7961493,9.4896507,22.38
2,5.7464910,9.7900553,9.4862490,22.38
3,5.7428713,9.8024006,9.4771128,22.35
4,5.7431679,9.8013878,9.4545422,22.32
5,5.7455597,9.7932291,9.4699240,22.30
6,5.7445164,9.7967863,9.4786243,22.33
7,5.7428770,9.8023815,9.4529572,22.28
8,5.7453070,9.7940903,9.4203949,22.22
9,5.7462735,9.7907963,9.4191980,22.23
10,5.7424693,9.8037729,9.4016857,22.23
11,5.7434082,9.8005676,9.3855753,22.26
12,5.7458525,9.7922316,9.4044514,22.25
13,5.7441626,9.7979937,9.4087496,22.25
14,5.7431030,9.8016090,9.3746548,22.22
15,5.7454462,9.7936163,9.3499489,22.23
16,5.7459369,9.7919436,9.3512487,22.26
17,5.7423396,9.8042154,9.3282137,22.33
18,5.7439694,9.7986526,9.3207474,22.33
19,5.7456532,9.7929106,9.3408995,22.35
20,5.7440157,9.7984943,9.3393822,22.36
21,5.7432084,9.8012495,9.2978535,22.36
22,5.7460890,9.7914257,9.2815142,22.39
23,5.7451320,9.7946873,9.2831917,22.35
24,5.7421513,9.8048592,9.2582741,22.35
25,5.7448187,9.7957554,9.2519207,22.33
26,5.7449436,9.7953300,9.2775936,22.32
27,5.7437830,9.7992887,9.2681026,22.32
28,5.7434244,9.8005123,9.2241793,22.30
29,5.7465229,9.7899466,9.2127810,22.28
30,5.7439060,9.7988691,9.2132339,22.30
31,5.7423635,9.8041344,9.1865587,22.26
32,5.7454114,9.7937346,9.1865120,22.22
