Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7434368,9.8004704,9.4830017,13.69
2,5.7443075,9.7974997,9.4892845,13.68
3,5.7428608,9.8024359,9.4723673,13.68
4,5.7441502,9.7980366,9.4505138,13.68
5,5.7444601,9.7969790,9.4414835,13.71
6,5.7436638,9.7996950,9.4265871,13.72
7,5.7426729,9.8030777,9.4138603,13.68
8,5.7436171,9.7998552,9.4030237,13.70
9,5.7440562,9.7983561,9.4115086,13.67
10,5.7427950,9.8026609,9.3870392,13.62
11,5.7442598,9.7976618,9.3693581,13.61
12,5.7441788,9.7979383,9.3601627,13.64
13,5.7435222,9.8001785,9.3472986,13.63
14,5.7428875,9.8023453,9.3346596,13.59
15,5.7441187,9.7981434,9.3274565,13.59
16,5.7436895,9.7996073,9.3325520,13.57
17,5.7432733,9.8010283,9.3042116,13.54
18,5.7444873,9.7968864,9.2921515,13.53
19,5.7438760,9.7989712,9.2808199,13.57
20,5.7431927,9.8013039,9.2711124,13.57
21,5.7429843,9.8020144,9.2577181,13.56
22,5.7445378,9.7967138,9.2539110,13.54
23,5.7432213,9.8012056,9.2523623,13.53
24,5.7434378,9.8004665,9.2232800,13.54
25,5.7445107,9.7968063,9.2139978,13.56
26,5.7436037,9.7999001,9.1995764,13.48
27,5.7427073,9.8029604,9.1887417,13.55
28,5.7431183,9.8015575,9.1746264,13.62
29,5.7445822,9.7965622,9.1761465,13.61
30,5.7427330,9.8028727,9.1658726,13.65
31,5.7436566,9.7997198,9.1404114,13.64
32,5.7444839,9.7968979,9.1282835,13.67
