Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7442265,9.7977762,9.4874525,23.86
2,5.7443376,9.7973967,9.4783468,23.84
3,5.7442942,9.7975445,9.4716682,23.82
4,5.7445068,9.7968197,9.4599094,23.85
5,5.7450299,9.7950354,9.4482765,23.84
6,5.7445850,9.7965527,9.4377937,23.85
7,5.7438731,9.7989807,9.4272795,23.84
8,5.7443304,9.7974215,9.4210443,23.88
9,5.7445240,9.7967615,9.4120703,23.90
10,5.7444243,9.7971010,9.4038029,23.87
11,5.7446170,9.7964439,9.3931351,23.87
12,5.7450786,9.7948694,9.3826685,23.89
13,5.7444620,9.7969723,9.3732100,23.87
14,5.7438674,9.7990007,9.3622313,23.88
15,5.7442961,9.7975378,9.3564472,23.85
16,5.7447920,9.7958469,9.3485079,23.83
17,5.7444468,9.7970247,9.3375635,23.82
18,5.7445250,9.7967577,9.3278408,23.80
19,5.7451887,9.7944946,9.3182907,23.84
20,5.7442923,9.7975512,9.3087072,23.77
21,5.7438602,9.7990246,9.2974272,23.80
22,5.7444448,9.7970304,9.2910376,23.84
23,5.7445116,9.7968025,9.2848825,23.83
24,5.7445984,9.7965078,9.2716208,23.83
25,5.7446332,9.7963886,9.2613268,23.80
26,5.7449751,9.7952223,9.2517624,23.80
27,5.7441988,9.7978706,9.2410202,23.81
28,5.7440662,9.7983217,9.2308321,23.82
29,5.7444773,9.7969208,9.2236624,23.80
30,5.7444963,9.7968550,9.2191133,23.83
31,5.7447095,9.7961283,9.2051334,23.85
32,5.7448864,9.7955246,9.1960926,23.82
