Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7447300,9.7960587,9.4799137,26.30
2,5.7443767,9.7972631,9.4680204,26.35
3,5.7446156,9.7964487,9.4596815,26.30
4,5.7444367,9.7970591,9.4491386,26.33
5,5.7448173,9.7957611,9.4399414,26.37
6,5.7444229,9.7971058,9.4292831,26.32
7,5.7441959,9.7978802,9.4190950,26.32
8,5.7446003,9.7965012,9.4125462,26.35
9,5.7444930,9.7968664,9.4013453,26.33
10,5.7446203,9.7964325,9.3937368,26.34
11,5.7444563,9.7969923,9.3819838,26.35
12,5.7448235,9.7957401,9.3725214,26.35
13,5.7442398,9.7977304,9.3616629,26.34
14,5.7443147,9.7974749,9.3516874,26.29
15,5.7445154,9.7967901,9.3453274,26.34
16,5.7445836,9.7965574,9.3348160,26.31
17,5.7445307,9.7967377,9.3267651,26.30
18,5.7446709,9.7962599,9.3147860,26.29
19,5.7446489,9.7963352,9.3040552,26.29
20,5.7442589,9.7976656,9.2942162,26.31
21,5.7444830,9.7969007,9.2850294,26.29
22,5.7444263,9.7970943,9.2777901,26.32
23,5.7446108,9.7964649,9.2680092,26.33
24,5.7444324,9.7970734,9.2592983,26.35
25,5.7447429,9.7960148,9.2478685,26.35
26,5.7445312,9.7967367,9.2378321,26.36
27,5.7441959,9.7978802,9.2277794,26.36
28,5.7445745,9.7965889,9.2199621,26.36
29,5.7443571,9.7973299,9.2111797,26.35
30,5.7445173,9.7967834,9.2012711,26.35
31,5.7442064,9.7978439,9.1918688,26.37
32,5.7447977,9.7958279,9.1796789,26.34
