Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7439647,9.7986689,9.4741611,18.26
2,5.7441311,9.7981014,9.4653215,18.24
3,5.7439718,9.7986450,9.4546862,18.23
4,5.7440758,9.7982903,9.4430752,18.22
5,5.7439613,9.7986803,9.4328785,18.23
6,5.7439742,9.7986364,9.4196987,18.24
7,5.7440367,9.7984228,9.4088211,18.22
8,5.7440023,9.7985401,9.3976593,18.23
9,5.7440815,9.7982702,9.3894663,18.26
10,5.7439594,9.7986870,9.3774748,18.23
11,5.7440691,9.7983122,9.3667936,18.21
12,5.7439532,9.7987080,9.3563337,18.21
13,5.7440734,9.7982979,9.3430157,18.22
14,5.7440672,9.7983189,9.3325329,18.18
15,5.7440596,9.7983446,9.3215504,18.20
16,5.7440872,9.7982502,9.3135471,18.17
17,5.7439437,9.7987404,9.3015318,18.20
18,5.7440367,9.7984228,9.2917280,18.17
19,5.7438688,9.7989960,9.2808638,18.18
20,5.7440047,9.7985315,9.2680492,18.20
21,5.7439594,9.7986870,9.2574291,18.20
22,5.7440414,9.7984066,9.2467480,18.18
23,5.7440042,9.7985344,9.2385435,18.21
24,5.7439356,9.7987680,9.2265177,18.22
25,5.7440691,9.7983122,9.2167902,18.21
26,5.7438517,9.7990551,9.2049704,18.22
27,5.7440410,9.7984085,9.1931124,18.21
28,5.7439013,9.7988853,9.1820812,18.23
29,5.7440634,9.7983322,9.1724148,18.21
30,5.7439547,9.7987032,9.1634016,18.22
31,5.7440071,9.7985239,9.1516600,18.24
32,5.7439690,9.7986546,9.1419182,18.20
