Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7443118,9.7974844,9.4787464,18.63
2,5.7442007,9.7978640,9.4681826,18.64
3,5.7441702,9.7979679,9.4578638,18.56
4,5.7439909,9.7985792,9.4494200,18.60
5,5.7441869,9.7979107,9.4369545,18.55
6,5.7444072,9.7971592,9.4284754,18.55
7,5.7441559,9.7980165,9.4174919,18.54
8,5.7442465,9.7977076,9.4063663,18.56
9,5.7440796,9.7982769,9.3956947,18.54
10,5.7441750,9.7979517,9.3854017,18.56
11,5.7440805,9.7982740,9.3764048,18.55
12,5.7441769,9.7979450,9.3647614,18.52
13,5.7442942,9.7975445,9.3561440,18.53
14,5.7440248,9.7984638,9.3438845,18.47
15,5.7442884,9.7975645,9.3335094,18.49
16,5.7440953,9.7982235,9.3234339,18.45
17,5.7442641,9.7976475,9.3139668,18.54
18,5.7439642,9.7986698,9.3038282,18.53
19,5.7442212,9.7977934,9.2924490,18.54
20,5.7442417,9.7977238,9.2846718,18.53
21,5.7441311,9.7981014,9.2720757,18.54
22,5.7442513,9.7976913,9.2621088,18.55
23,5.7441158,9.7981529,9.2515764,18.51
24,5.7441664,9.7979803,9.2438211,18.52
25,5.7439241,9.7988071,9.2324181,18.49
26,5.7442079,9.7978392,9.2220631,18.52
27,5.7440300,9.7984457,9.2131090,18.56
28,5.7442226,9.7977886,9.2003040,18.54
29,5.7442074,9.7978411,9.1890936,18.51
30,5.7438970,9.7988997,9.1775703,18.52
31,5.7441444,9.7980556,9.1700554,18.53
32,5.7440147,9.7984982,9.1574488,18.53
