Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7442060,9.7978458,9.4827280,19.64
2,5.7444019,9.7971773,9.4732866,19.64
3,5.7441130,9.7981625,9.4649467,19.63
4,5.7443171,9.7974663,9.4529743,19.62
5,5.7444363,9.7970600,9.4454031,19.61
6,5.7442298,9.7977638,9.4338684,19.62
7,5.7444062,9.7971621,9.4237127,19.61
8,5.7441616,9.7979965,9.4128952,19.60
9,5.7443943,9.7972031,9.4049425,19.59
10,5.7441244,9.7981243,9.3953304,19.60
11,5.7442927,9.7975502,9.3848572,19.61
12,5.7443247,9.7974405,9.3772774,19.61
13,5.7442141,9.7978182,9.3653345,19.60
14,5.7443056,9.7975063,9.3548374,19.66
15,5.7440691,9.7983122,9.3444233,19.72
16,5.7443366,9.7974005,9.3378849,19.67
17,5.7440596,9.7983446,9.3257532,19.66
18,5.7443199,9.7974567,9.3154535,19.73
19,5.7442331,9.7977533,9.3075819,19.72
20,5.7443199,9.7974567,9.2964725,19.73
21,5.7441492,9.7980394,9.2862597,19.73
22,5.7440400,9.7984123,9.2762718,19.69
23,5.7442846,9.7975769,9.2693987,19.72
24,5.7440834,9.7982635,9.2569132,19.76
25,5.7443361,9.7974014,9.2475319,19.75
26,5.7440395,9.7984133,9.2389288,19.70
27,5.7443628,9.7973108,9.2268524,19.71
28,5.7442012,9.7978621,9.2162447,19.72
29,5.7442141,9.7978182,9.2072439,19.66
30,5.7442002,9.7978649,9.2004166,19.72
31,5.7441397,9.7980719,9.1884184,19.72
32,5.7443447,9.7973719,9.1789999,19.68
