Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7439594,9.7986870,9.4883957,22.05
2,5.7443829,9.7972422,9.4788485,22.08
3,5.7440720,9.7983027,9.4750233,22.12
4,5.7443380,9.7973948,9.4539680,22.04
5,5.7447791,9.7958908,9.4430246,22.03
6,5.7444696,9.7969465,9.4309835,22.02
7,5.7437234,9.7994919,9.4183683,22.03
8,5.7440872,9.7982502,9.4098263,22.03
9,5.7445641,9.7966242,9.4032803,22.05
10,5.7440510,9.7983751,9.3961048,22.05
11,5.7443018,9.7975187,9.3777237,22.02
12,5.7448668,9.7955914,9.3658037,21.97
13,5.7442217,9.7977924,9.3533611,21.97
14,5.7436361,9.7997894,9.3401499,21.96
15,5.7441459,9.7980509,9.3329515,21.98
16,5.7446346,9.7963839,9.3276472,22.02
17,5.7440290,9.7984495,9.3171368,22.07
18,5.7444143,9.7971344,9.3016090,22.10
19,5.7449188,9.7954149,9.2900095,22.11
20,5.7442150,9.7978144,9.2788782,22.13
21,5.7436304,9.7998095,9.2669315,22.17
22,5.7441149,9.7981558,9.2578440,22.17
23,5.7444735,9.7969332,9.2566299,22.18
24,5.7439866,9.7985945,9.2412701,22.17
25,5.7445235,9.7967625,9.2272568,22.17
26,5.7448092,9.7957878,9.2152214,22.13
27,5.7440462,9.7983904,9.2035608,22.12
28,5.7438354,9.7991095,9.1922426,22.11
29,5.7441683,9.7979736,9.1827717,22.11
30,5.7443533,9.7973433,9.1834135,22.06
31,5.7441311,9.7981014,9.1641378,22.09
32,5.7445393,9.7967081,9.1522999,22.09
