Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7441244,9.7981243,9.4931965,24.75
2,5.7454863,9.7934799,9.5060120,24.76
3,5.7440424,9.7984037,9.4996939,24.75
4,5.7434459,9.8004389,9.4620857,24.77
5,5.7455525,9.7932539,9.4486589,24.69
6,5.7445631,9.7966270,9.4412727,24.74
7,5.7432303,9.8011751,9.4216347,24.72
8,5.7446699,9.7962627,9.4156418,24.70
9,5.7451010,9.7947931,9.4322262,24.70
10,5.7434635,9.8003788,9.4212027,24.71
11,5.7441120,9.7981663,9.3830414,24.71
12,5.7456765,9.7928305,9.3708944,24.71
13,5.7440414,9.7984066,9.3634062,24.73
14,5.7431564,9.8014269,9.3468084,24.72
15,5.7453041,9.7940998,9.3417406,24.76
16,5.7445741,9.7965899,9.3577108,24.79
17,5.7432194,9.8012123,9.3410892,24.78
18,5.7446651,9.7962790,9.3071613,24.75
19,5.7455444,9.7932806,9.2953262,24.77
20,5.7436647,9.7996922,9.2860069,24.78
21,5.7433863,9.8006430,9.2699280,24.78
22,5.7453480,9.7939510,9.2729683,24.81
23,5.7443399,9.7973881,9.2822800,24.80
24,5.7431579,9.8014221,9.2569895,24.81
25,5.7450266,9.7950468,9.2299900,24.81
26,5.7452326,9.7943439,9.2192039,24.70
27,5.7434144,9.8005466,9.2048140,24.73
28,5.7437043,9.7995567,9.1916008,24.76
29,5.7454042,9.7937593,9.2033634,24.71
30,5.7442646,9.7976456,9.2050390,24.70
31,5.7433453,9.8007822,9.1742163,24.59
32,5.7449646,9.7952585,9.1544733,24.61
