Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7430921,9.8016472,9.4746685,12.11
2,5.7437429,9.7994251,9.4663734,12.12
3,5.7432566,9.8010855,9.4544125,12.12
4,5.7438745,9.7989769,9.4417934,12.11
5,5.7441397,9.7980719,9.4302263,12.13
6,5.7434196,9.8005285,9.4191856,12.11
7,5.7428012,9.8026390,9.4043789,12.13
8,5.7431555,9.8014297,9.3914461,12.14
9,5.7436967,9.7995834,9.3850241,12.10
10,5.7433844,9.8006487,9.3703794,12.09
11,5.7439766,9.7986288,9.3570433,12.06
12,5.7441921,9.7978926,9.3472300,12.00
13,5.7431602,9.8014145,9.3359337,12.03
14,5.7430296,9.8018599,9.3209839,12.06
15,5.7431860,9.8013268,9.3078947,12.08
16,5.7436924,9.7995977,9.3018389,12.11
17,5.7435093,9.8002224,9.2852678,12.10
18,5.7439680,9.7986574,9.2736340,12.08
19,5.7441149,9.7981558,9.2656355,12.08
20,5.7430172,9.8019018,9.2532310,12.07
21,5.7430120,9.8019199,9.2397594,12.09
22,5.7434654,9.8003731,9.2280998,12.14
23,5.7434168,9.8005390,9.2225876,12.12
24,5.7436638,9.7996950,9.2054920,12.15
25,5.7438555,9.7990417,9.1945810,12.14
26,5.7438946,9.7989082,9.1845341,12.18
27,5.7429128,9.8022585,9.1702976,12.17
28,5.7430258,9.8018732,9.1579409,12.14
29,5.7434874,9.8002977,9.1481094,12.16
30,5.7433109,9.8008995,9.1400852,12.18
31,5.7437620,9.7993603,9.1249695,12.12
32,5.7439833,9.7986050,9.1132374,12.18
