Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7447538,9.7959766,9.5387583,22.99
2,5.7472272,9.7875471,9.5867929,22.98
3,5.7422385,9.8045607,9.5816002,22.95
4,5.7429643,9.8020830,9.5205555,22.96
5,5.7476873,9.7859802,9.5124016,22.95
6,5.7444572,9.7969885,9.5005236,22.96
7,5.7411394,9.8083153,9.4793091,22.99
8,5.7453871,9.7938175,9.4751253,23.04
9,5.7469573,9.7884665,9.5243931,23.03
10,5.7417288,9.8063021,9.5014505,23.02
11,5.7435751,9.7999983,9.4414396,23.05
12,5.7475357,9.7864962,9.4454374,23.04
13,5.7439289,9.7987909,9.4313316,23.04
14,5.7408810,9.8091984,9.4070721,23.00
15,5.7460670,9.7915001,9.4206762,23.02
16,5.7463722,9.7904606,9.4603758,23.00
17,5.7415495,9.8069143,9.4259510,23.00
18,5.7443295,9.7974243,9.3727856,23.00
19,5.7470369,9.7881956,9.3744307,22.98
20,5.7435331,9.8001413,9.3612013,22.99
21,5.7414212,9.8073521,9.3334284,22.93
22,5.7466154,9.7896318,9.3609400,22.98
23,5.7451334,9.7946825,9.3928366,22.97
24,5.7411036,9.8084373,9.3473158,22.96
25,5.7460985,9.7913923,9.3029547,22.97
26,5.7461319,9.7912788,9.3028641,22.99
27,5.7426224,9.8032503,9.2881193,22.94
28,5.7422538,9.8045082,9.2645998,22.94
29,5.7474475,9.7867966,9.2995167,22.94
30,5.7435498,9.8000841,9.3202524,22.94
31,5.7418427,9.8059130,9.2694016,22.93
32,5.7472463,9.7874823,9.2327442,22.95
