Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7445154,9.7967901,9.4688005,22.49
2,5.7445617,9.7966328,9.4617767,22.50
3,5.7444220,9.7971087,9.4511957,22.48
4,5.7443142,9.7974758,9.4414911,22.48
5,5.7443056,9.7975063,9.4285793,22.46
6,5.7444801,9.7969103,9.4186468,22.48
7,5.7443066,9.7975025,9.4085121,22.50
8,5.7444477,9.7970209,9.4000721,22.54
9,5.7444377,9.7970552,9.3917427,22.51
10,5.7442780,9.7976007,9.3813362,22.50
11,5.7441397,9.7980719,9.3710327,22.51
12,5.7443171,9.7974663,9.3584232,22.54
13,5.7443085,9.7974958,9.3486767,22.54
14,5.7442927,9.7975502,9.3381004,22.59
15,5.7444515,9.7970085,9.3310871,22.59
16,5.7443037,9.7975121,9.3211927,22.61
17,5.7442985,9.7975302,9.3109579,22.63
18,5.7440557,9.7983580,9.2997627,22.66
19,5.7443056,9.7975063,9.2874155,22.67
20,5.7442975,9.7975330,9.2775660,22.66
21,5.7443142,9.7974758,9.2672844,22.61
22,5.7444539,9.7969999,9.2606058,22.65
23,5.7443604,9.7973185,9.2507010,22.66
24,5.7442832,9.7975817,9.2410622,22.64
25,5.7441826,9.7979259,9.2292395,22.63
26,5.7444205,9.7971134,9.2175484,22.66
27,5.7443256,9.7974377,9.2078886,22.65
28,5.7443943,9.7972031,9.1984749,22.66
29,5.7444830,9.7969007,9.1918077,22.66
30,5.7442904,9.7975578,9.1817656,22.62
31,5.7441692,9.7979708,9.1722355,22.62
32,5.7442031,9.7978554,9.1605368,22.67
