Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7426119,9.8032856,9.5623808,18.08
2,5.7506437,9.7759209,9.6561813,18.03
3,5.7414155,9.8073721,9.6547184,18.08
4,5.7390947,9.8153057,9.5672255,18.10
5,5.7485762,9.7829542,9.5404243,18.08
6,5.7448363,9.7956963,9.5374346,18.04
7,5.7398338,9.8127785,9.5122318,18.08
8,5.7463751,9.7904501,9.5019369,18.13
9,5.7492952,9.7805080,9.5967283,18.09
10,5.7395773,9.8136549,9.5718994,18.07
11,5.7411346,9.8083315,9.4730482,18.06
12,5.7485352,9.7830944,9.4631767,18.06
13,5.7435985,9.7999182,9.4606524,18.00
14,5.7395177,9.8138590,9.4290543,18.11
15,5.7484245,9.7834702,9.4465933,18.07
16,5.7474108,9.7869225,9.5202484,18.10
17,5.7375708,9.8205204,9.4841452,18.10
18,5.7444687,9.7969494,9.3817444,18.10
19,5.7473774,9.7870350,9.3843317,18.14
20,5.7426701,9.8030872,9.3755293,18.13
21,5.7398720,9.8126469,9.3384476,18.21
22,5.7498779,9.7785254,9.3945141,18.19
23,5.7453856,9.7938223,9.4341774,18.26
24,5.7373452,9.8212919,9.3756371,18.27
25,5.7467995,9.7890043,9.2927885,18.28
26,5.7462349,9.7909279,9.2961960,18.28
27,5.7421885,9.8047314,9.2792635,18.32
28,5.7408767,9.8092136,9.2468424,18.32
29,5.7507391,9.7755966,9.3273849,18.27
30,5.7435699,9.8000154,9.3511686,18.27
31,5.7373371,9.8213205,9.2737541,18.32
32,5.7482204,9.7841654,9.2296906,18.29
