Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7461023,9.7913790,9.5182199,23.59
2,5.7463932,9.7903881,9.5186014,23.57
3,5.7432833,9.8009939,9.5056219,23.64
4,5.7406988,9.8098211,9.4752722,23.61
5,5.7497191,9.7790651,9.5377464,23.65
6,5.7445922,9.7965288,9.5692692,23.65
7,5.7391596,9.8150835,9.5005808,23.61
8,5.7479053,9.7852383,9.4481936,23.66
9,5.7457471,9.7925901,9.4496984,23.66
10,5.7426538,9.8031425,9.4341774,23.59
11,5.7423038,9.8043385,9.4091263,23.64
12,5.7493773,9.7802277,9.4841452,23.62
13,5.7434340,9.8004799,9.4966230,23.60
14,5.7395582,9.8137207,9.4227304,23.57
15,5.7483664,9.7836685,9.3916759,23.58
16,5.7452145,9.7944069,9.3837032,23.51
17,5.7412753,9.8078508,9.3673811,23.52
18,5.7441998,9.7978668,9.3488541,23.60
19,5.7495470,9.7796507,9.4287863,23.52
20,5.7419538,9.8055325,9.4225883,23.53
21,5.7405577,9.8103037,9.3370142,23.52
22,5.7484779,9.7832880,9.3275146,23.55
23,5.7446022,9.7964945,9.3155975,23.54
24,5.7406483,9.8099937,9.2952652,23.54
25,5.7464194,9.7902985,9.2935715,23.53
26,5.7484589,9.7833538,9.3668270,23.53
27,5.7398787,9.8126240,9.3461266,23.50
28,5.7430286,9.8018637,9.2585821,23.51
29,5.7482138,9.7841883,9.2560692,23.52
30,5.7442207,9.7977953,9.2459135,23.53
31,5.7401190,9.8118029,9.2188320,23.42
32,5.7485714,9.7829704,9.2409220,23.55
