Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7432723,9.8010321,9.5001221,16.36
2,5.7450647,9.7949171,9.5229540,16.35
3,5.7433252,9.8008509,9.5172224,16.34
4,5.7428808,9.8023682,9.4715881,16.34
5,5.7457356,9.7926292,9.4545460,16.41
6,5.7445259,9.7967548,9.4524679,16.44
7,5.7417068,9.8063765,9.4298182,16.44
8,5.7443180,9.7974634,9.4198303,16.43
9,5.7445068,9.7968197,9.4456110,16.44
10,5.7432537,9.8010950,9.4334822,16.46
11,5.7431469,9.8014593,9.3873329,16.46
12,5.7459965,9.7917404,9.3763037,16.43
13,5.7433338,9.8008213,9.3717089,16.40
14,5.7418942,9.8057365,9.3498573,16.39
15,5.7449117,9.7954388,9.3486500,16.43
16,5.7443905,9.7972164,9.3697834,16.40
17,5.7425613,9.8034582,9.3504343,16.42
18,5.7443571,9.7973299,9.3094597,16.41
19,5.7458611,9.7922020,9.3037958,16.43
20,5.7423701,9.8041115,9.2909603,16.41
21,5.7425461,9.8035107,9.2695827,16.37
22,5.7451310,9.7946911,9.2815180,16.38
23,5.7439318,9.7987814,9.2908173,16.40
24,5.7421198,9.8049669,9.2650681,16.39
25,5.7448430,9.7956724,9.2303371,16.35
26,5.7457724,9.7925043,9.2255507,16.37
27,5.7418652,9.8058357,9.2069540,16.40
28,5.7426066,9.8033037,9.1904554,16.42
29,5.7455039,9.7934198,9.2076759,16.42
30,5.7436342,9.7997961,9.2104483,16.44
31,5.7423439,9.8042011,9.1752186,16.44
32,5.7450223,9.7950611,9.1497374,16.45
