Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7448239,9.7957373,9.4938498,23.54
2,5.7449751,9.7952223,9.4856529,23.59
3,5.7442679,9.7976341,9.4735022,23.61
4,5.7439361,9.7987671,9.4633236,23.68
5,5.7445683,9.7966099,9.4543657,23.69
6,5.7445364,9.7967186,9.4560881,23.73
7,5.7442722,9.7976198,9.4351254,23.72
8,5.7448473,9.7956581,9.4256239,23.75
9,5.7447219,9.7960854,9.4147949,23.76
10,5.7439356,9.7987680,9.4040289,23.75
11,5.7439070,9.7988653,9.3957310,23.71
12,5.7446346,9.7963839,9.3888454,23.72
13,5.7442327,9.7977543,9.3887291,23.62
14,5.7444091,9.7971525,9.3676100,23.62
15,5.7451420,9.7946539,9.3590412,23.62
16,5.7446475,9.7963390,9.3464508,23.61
17,5.7439270,9.7987976,9.3372841,23.55
18,5.7439957,9.7985630,9.3295870,23.57
19,5.7447667,9.7959328,9.3248234,23.56
20,5.7440658,9.7983246,9.3186731,23.56
21,5.7444634,9.7969675,9.3003168,23.59
22,5.7452011,9.7944517,9.2898073,23.58
23,5.7443757,9.7972660,9.2761469,23.56
24,5.7435570,9.8000603,9.2666416,23.54
25,5.7440548,9.7983618,9.2595291,23.56
26,5.7448740,9.7955675,9.2561140,23.60
27,5.7438192,9.7991648,9.2451134,23.52
28,5.7445631,9.7966270,9.2287197,23.53
29,5.7450585,9.7949381,9.2188025,23.55
30,5.7444248,9.7970991,9.2061329,23.57
31,5.7436800,9.7996397,9.1963129,23.56
32,5.7443857,9.7972326,9.1899166,23.62
