Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7433701,9.8006983,9.4876089,13.95
2,5.7446709,9.7962599,9.5021086,13.95
3,5.7433777,9.8006716,9.4920864,13.95
4,5.7430820,9.8016815,9.4526396,13.94
5,5.7447443,9.7960091,9.4427538,13.95
6,5.7437172,9.7995129,9.4311838,13.95
7,5.7427483,9.8028202,9.4161959,13.96
8,5.7441664,9.7979803,9.4044390,13.92
9,5.7441664,9.7979803,9.4209595,13.93
10,5.7427025,9.8029766,9.4076014,13.93
11,5.7440023,9.7985401,9.3719206,13.84
12,5.7445474,9.7966814,9.3581009,13.87
13,5.7433357,9.8008146,9.3486195,13.83
14,5.7427993,9.8026457,9.3338375,13.83
15,5.7445068,9.7968197,9.3285656,13.82
16,5.7437077,9.7995453,9.3420687,13.88
17,5.7423592,9.8041487,9.3213387,13.84
18,5.7448435,9.7956715,9.2893047,13.88
19,5.7441149,9.7981558,9.2774467,13.86
20,5.7431021,9.8016119,9.2646093,13.88
21,5.7425785,9.8034000,9.2494526,13.91
22,5.7447929,9.7958431,9.2555447,13.90
23,5.7436628,9.7996988,9.2580719,13.90
24,5.7425022,9.8036604,9.2285137,13.95
25,5.7449093,9.7954464,9.2080078,13.97
26,5.7443571,9.7973299,9.1947069,13.97
27,5.7432270,9.8011856,9.1800165,13.99
28,5.7426095,9.8032942,9.1701450,13.96
29,5.7449675,9.7952490,9.1813974,13.95
30,5.7436695,9.7996759,9.1761684,13.97
31,5.7428937,9.8023243,9.1394386,13.94
32,5.7443633,9.7973089,9.1279097,13.98
