Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7435956,9.7999277,9.4781561,15.25
2,5.7448606,9.7956123,9.4906826,15.23
3,5.7433386,9.8008060,9.4798794,15.24
4,5.7436438,9.7997637,9.4441853,15.24
5,5.7449269,9.7953863,9.4343491,15.22
6,5.7438574,9.7990351,9.4176006,15.25
7,5.7429967,9.8019724,9.4035416,15.24
8,5.7441721,9.7979612,9.3900681,15.21
9,5.7442102,9.7978306,9.3982506,15.16
10,5.7423487,9.8041849,9.3726473,15.19
11,5.7438622,9.7990189,9.3389997,15.15
12,5.7444391,9.7970505,9.3249121,15.16
13,5.7437658,9.7993469,9.3117876,15.19
14,5.7430372,9.8018341,9.2980108,15.22
15,5.7446551,9.7963133,9.2929878,15.24
16,5.7441735,9.7979565,9.3035746,15.23
17,5.7427597,9.8027811,9.2782784,15.21
18,5.7448845,9.7955313,9.2553864,15.21
19,5.7443151,9.7974730,9.2404079,15.20
20,5.7436810,9.7996368,9.2260799,15.20
21,5.7430048,9.8019447,9.2143154,15.16
22,5.7448912,9.7955084,9.2135468,15.18
23,5.7438931,9.7989130,9.2138138,15.13
24,5.7427921,9.8026705,9.1803532,15.14
25,5.7450590,9.7949362,9.1641788,15.09
26,5.7439952,9.7985649,9.1457043,15.10
27,5.7432518,9.8011017,9.1333618,15.07
28,5.7431698,9.8013811,9.1256132,15.10
29,5.7451715,9.7945528,9.1329660,15.14
30,5.7436476,9.7997513,9.1288805,15.20
31,5.7430849,9.8016710,9.0897665,15.20
32,5.7447414,9.7960186,9.0759535,15.17
