Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7440290,9.7984495,9.5084658,15.37
2,5.7445087,9.7968130,9.5355854,15.38
3,5.7429504,9.8021297,9.5249386,15.37
4,5.7430339,9.8018446,9.4772139,15.41
5,5.7459655,9.7918463,9.4663048,15.37
6,5.7434955,9.8002701,9.4615126,15.32
7,5.7414517,9.8072481,9.4395647,15.36
8,5.7445674,9.7966127,9.4353218,15.35
9,5.7444286,9.7970867,9.4594851,15.32
10,5.7426205,9.8032570,9.4404688,15.34
11,5.7439814,9.7986116,9.3975201,15.33
12,5.7457376,9.7926235,9.3935194,15.35
13,5.7424917,9.8036966,9.3820982,15.35
14,5.7421961,9.8047056,9.3603010,15.37
15,5.7449503,9.7953072,9.3706121,15.36
16,5.7439852,9.7985992,9.3835411,15.37
17,5.7420201,9.8053064,9.3582001,15.34
18,5.7447147,9.7961102,9.3215694,15.39
19,5.7457294,9.7926512,9.3180838,15.38
20,5.7418451,9.8059044,9.3008423,15.36
21,5.7424450,9.8038559,9.2813873,15.43
22,5.7454319,9.7936649,9.2995424,15.40
23,5.7436504,9.7997408,9.3058577,15.41
24,5.7420764,9.8051147,9.2716351,15.39
25,5.7449932,9.7951612,9.2446880,15.37
26,5.7454252,9.7936878,9.2402210,15.38
27,5.7416525,9.8065624,9.2186136,15.36
28,5.7428703,9.8024035,9.2072554,15.38
29,5.7452354,9.7943344,9.2286291,15.37
30,5.7432551,9.8010902,9.2263775,15.31
31,5.7425156,9.8036146,9.1832504,15.36
32,5.7455597,9.7932291,9.1650953,15.38
