Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7450156,9.7950840,9.5229464,26.53
2,5.7470932,9.7880030,9.5711861,26.56
3,5.7424459,9.8038521,9.5591364,26.60
4,5.7433853,9.8006458,9.5014086,26.58
5,5.7479973,9.7849245,9.4984312,26.56
6,5.7445631,9.7966270,9.4863462,26.54
7,5.7411890,9.8081455,9.4635382,26.53
8,5.7458496,9.7922411,9.4648447,26.51
9,5.7467332,9.7892294,9.5113564,26.50
10,5.7419348,9.8055983,9.4857702,26.48
11,5.7440720,9.7983027,9.4259415,26.45
12,5.7477627,9.7857237,9.4334936,26.44
13,5.7439537,9.7987061,9.4201756,26.43
14,5.7411671,9.8082209,9.3929663,26.42
15,5.7464161,9.7903109,9.4109039,26.37
16,5.7461281,9.7912922,9.4488382,26.35
17,5.7417789,9.8061304,9.4151564,26.40
18,5.7450552,9.7949495,9.3623476,26.33
19,5.7471085,9.7879515,9.3661156,26.37
20,5.7435627,9.8000402,9.3531199,26.36
21,5.7417212,9.8063278,9.3251467,26.38
22,5.7468300,9.7889004,9.3538971,26.37
23,5.7449183,9.7954159,9.3836651,26.39
24,5.7417231,9.8063211,9.3391466,26.41
25,5.7468157,9.7889490,9.2957878,26.42
26,5.7460380,9.7915993,9.2987967,26.41
27,5.7425008,9.8036652,9.2842884,26.44
28,5.7429185,9.8022394,9.2623606,26.44
29,5.7474251,9.7868729,9.2994013,26.44
30,5.7435598,9.8000498,9.3155460,26.44
31,5.7425146,9.8036184,9.2621326,26.47
32,5.7474666,9.7867327,9.2315893,26.46
