Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7443180,9.7974634,9.4988480,24.77
2,5.7443914,9.7972126,9.4899244,24.79
3,5.7444420,9.7970400,9.4868860,24.78
4,5.7446470,9.7963409,9.4732637,24.77
5,5.7449884,9.7951765,9.4627533,24.78
6,5.7446680,9.7962694,9.4523830,24.74
7,5.7440400,9.7984123,9.4422913,24.72
8,5.7444763,9.7969236,9.4340973,24.76
9,5.7445078,9.7968159,9.4266214,24.76
10,5.7444177,9.7971239,9.4206161,24.72
11,5.7445488,9.7966766,9.4095926,24.73
12,5.7450829,9.7948551,9.3974657,24.75
13,5.7445078,9.7968159,9.3868923,24.76
14,5.7439756,9.7986317,9.3768597,24.77
15,5.7444429,9.7970371,9.3722858,24.79
16,5.7446656,9.7962780,9.3645544,24.75
17,5.7443848,9.7972355,9.3561010,24.72
18,5.7446241,9.7964191,9.3439569,24.76
19,5.7449884,9.7951765,9.3337784,24.75
20,5.7445040,9.7968292,9.3233585,24.76
21,5.7439799,9.7986164,9.3135738,24.81
22,5.7444587,9.7969837,9.3097839,24.78
23,5.7446799,9.7962284,9.3035040,24.81
24,5.7444935,9.7968645,9.2917442,24.78
25,5.7445717,9.7965984,9.2804861,24.82
26,5.7448783,9.7955523,9.2711821,24.75
27,5.7443600,9.7973204,9.2610016,24.74
28,5.7441540,9.7980232,9.2520990,24.72
29,5.7444687,9.7969494,9.2456226,24.73
30,5.7446070,9.7964783,9.2401171,24.74
31,5.7445822,9.7965622,9.2261953,24.73
32,5.7445993,9.7965040,9.2168941,24.73
