Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7433996,9.8005972,9.5136538,13.80
2,5.7444572,9.7969885,9.5417118,13.85
3,5.7426701,9.8030872,9.5323572,13.84
4,5.7429314,9.8021955,9.4837093,13.84
5,5.7457924,9.7924356,9.4712915,13.91
6,5.7437453,9.7994175,9.4688950,13.84
7,5.7414293,9.8073254,9.4475689,13.80
8,5.7442770,9.7976036,9.4400043,13.85
9,5.7444344,9.7970667,9.4672251,13.84
10,5.7425742,9.8034143,9.4501896,13.80
11,5.7435184,9.8001919,9.4061241,13.83
12,5.7456741,9.7928391,9.4007406,13.83
13,5.7425723,9.8034210,9.3908215,13.82
14,5.7419052,9.8056993,9.3689079,13.80
15,5.7447472,9.7959995,9.3765697,13.78
16,5.7440634,9.7983322,9.3932362,13.78
17,5.7419014,9.8057117,9.3687773,13.74
18,5.7444792,9.7969141,9.3299961,13.76
19,5.7455635,9.7932167,9.3277674,13.79
20,5.7417622,9.8061876,9.3108215,13.77
21,5.7422142,9.8046436,9.2914982,13.81
22,5.7452679,9.7942247,9.3080406,13.83
23,5.7435637,9.8000374,9.3170261,13.83
24,5.7418098,9.8060246,9.2830143,13.84
25,5.7449245,9.7953949,9.2552443,13.83
26,5.7453823,9.7938337,9.2496920,13.81
27,5.7414942,9.8071032,9.2289944,13.84
28,5.7426100,9.8032923,9.2169418,13.86
29,5.7453156,9.7940617,9.2362852,13.87
30,5.7431059,9.8015995,9.2364960,13.86
31,5.7424507,9.8038359,9.1939964,13.86
32,5.7452559,9.7942648,9.1753988,13.86
