Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7439208,9.7988186,9.4935341,22.14
2,5.7455044,9.7934179,9.5138016,22.12
3,5.7438593,9.7990284,9.5100336,22.06
4,5.7431936,9.8013000,9.4685059,22.05
5,5.7459016,9.7920637,9.4530706,22.05
6,5.7449889,9.7951756,9.4540987,22.06
7,5.7423954,9.8040247,9.4295273,22.12
8,5.7450781,9.7948713,9.4230099,22.12
9,5.7450094,9.7951050,9.4489527,22.13
10,5.7440014,9.7985439,9.4380245,22.13
11,5.7435913,9.7999430,9.3947973,22.13
12,5.7464023,9.7903576,9.3839731,22.16
13,5.7437563,9.7993803,9.3841877,22.14
14,5.7426267,9.8032360,9.3587160,22.15
15,5.7454333,9.7936602,9.3598375,22.17
16,5.7447367,9.7960348,9.3825569,22.12
17,5.7432990,9.8009405,9.3662910,22.17
18,5.7445312,9.7967367,9.3273573,22.17
19,5.7463379,9.7905769,9.3208809,22.12
20,5.7429619,9.8020916,9.3142872,22.12
21,5.7429876,9.8020029,9.2923012,22.09
22,5.7453880,9.7938147,9.3030281,22.09
23,5.7444677,9.7969522,9.3137341,22.12
24,5.7427311,9.8028793,9.2901516,22.08
25,5.7450075,9.7951117,9.2561836,22.04
26,5.7461510,9.7912140,9.2525864,22.11
27,5.7424302,9.8039064,9.2368612,22.10
28,5.7432537,9.8010950,9.2191801,22.11
29,5.7456861,9.7927990,9.2371006,22.05
30,5.7441378,9.7980785,9.2410269,22.10
31,5.7429438,9.8021526,9.2098255,22.13
32,5.7451458,9.7946405,9.1839800,22.13
