Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7446823,9.7962208,9.4849796,20.26
2,5.7444010,9.7971811,9.4722576,20.27
3,5.7435980,9.7999201,9.4616966,20.25
4,5.7439318,9.7987814,9.4541941,20.25
5,5.7448769,9.7955570,9.4519558,20.24
6,5.7436881,9.7996130,9.4464121,20.25
7,5.7441225,9.7981310,9.4223108,20.25
8,5.7449131,9.7954330,9.4111834,20.25
9,5.7442999,9.7975254,9.3987446,20.27
10,5.7434392,9.8004618,9.3876123,20.26
11,5.7441444,9.7980556,9.3803625,20.23
12,5.7448077,9.7957935,9.3826256,20.19
13,5.7435074,9.8002291,9.3702765,20.17
14,5.7442193,9.7978001,9.3495655,20.22
15,5.7448649,9.7955980,9.3376465,20.20
16,5.7440996,9.7982092,9.3245478,20.23
17,5.7434826,9.8003139,9.3131437,20.15
18,5.7443533,9.7973433,9.3048964,20.18
19,5.7446694,9.7962646,9.3109179,20.22
20,5.7434845,9.8003073,9.2922201,20.23
21,5.7444448,9.7970304,9.2747860,20.24
22,5.7447362,9.7960377,9.2639322,20.24
23,5.7439241,9.7988071,9.2512398,20.23
24,5.7437181,9.7995100,9.2406349,20.25
25,5.7443457,9.7973690,9.2333698,20.25
26,5.7443552,9.7973366,9.2390633,20.27
27,5.7437372,9.7994442,9.2164612,20.26
28,5.7445498,9.7966738,9.2014503,20.25
29,5.7446117,9.7964611,9.1914244,20.24
30,5.7437658,9.7993469,9.1792078,20.28
31,5.7437434,9.7994242,9.1698637,20.28
32,5.7445145,9.7967930,9.1640701,20.26
