Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7442474,9.7977047,9.4998264,23.98
2,5.7442355,9.7977448,9.4914246,23.94
3,5.7444491,9.7970161,9.4810896,24.04
4,5.7446156,9.7964487,9.4709854,23.99
5,5.7446251,9.7964163,9.4599915,23.98
6,5.7447681,9.7959280,9.4493084,24.03
7,5.7440252,9.7984629,9.4380302,24.08
8,5.7443166,9.7974682,9.4279499,24.03
9,5.7440953,9.7982235,9.4178629,24.05
10,5.7446942,9.7961798,9.4087858,24.05
11,5.7447071,9.7961359,9.4002542,24.06
12,5.7447243,9.7960777,9.3889256,23.93
13,5.7445860,9.7965488,9.3795586,23.96
14,5.7440367,9.7984228,9.3683672,23.97
15,5.7443228,9.7974472,9.3597088,24.00
16,5.7441540,9.7980232,9.3485155,23.99
17,5.7444453,9.7970295,9.3378353,24.02
18,5.7444763,9.7969236,9.3287878,24.01
19,5.7448506,9.7956467,9.3171825,24.01
20,5.7445335,9.7967281,9.3062544,24.00
21,5.7438898,9.7989244,9.2934008,23.99
22,5.7444992,9.7968454,9.2871084,23.99
23,5.7443905,9.7972164,9.2749100,24.01
24,5.7445040,9.7968292,9.2650604,24.03
25,5.7443342,9.7974081,9.2559595,24.04
26,5.7449808,9.7952032,9.2434998,24.04
27,5.7442427,9.7977200,9.2320175,24.03
28,5.7440543,9.7983627,9.2196922,24.07
29,5.7443724,9.7972784,9.2118635,24.04
30,5.7445045,9.7968273,9.1994791,24.01
31,5.7446127,9.7964582,9.1894655,24.01
32,5.7445002,9.7968426,9.1804419,24.00
