Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7443333,9.7974110,9.4863615,25.78
2,5.7448301,9.7957163,9.4755859,25.82
3,5.7444420,9.7970400,9.4646912,25.82
4,5.7440710,9.7983065,9.4531603,25.81
5,5.7445536,9.7966604,9.4470825,25.80
6,5.7443838,9.7972393,9.4343081,25.79
7,5.7444410,9.7970438,9.4235325,25.77
8,5.7442770,9.7976036,9.4130888,25.77
9,5.7448454,9.7956648,9.4021339,25.73
10,5.7443914,9.7972126,9.3903847,25.75
11,5.7440319,9.7984400,9.3786993,25.77
12,5.7443972,9.7971935,9.3715963,25.77
13,5.7443867,9.7972288,9.3601131,25.77
14,5.7445660,9.7966175,9.3484249,25.73
15,5.7443795,9.7972536,9.3364286,25.74
16,5.7446556,9.7963123,9.3257685,25.76
17,5.7442923,9.7975512,9.3130350,25.72
18,5.7441354,9.7980862,9.3017931,25.80
19,5.7443466,9.7973661,9.2934942,25.76
20,5.7444906,9.7968740,9.2852192,25.78
21,5.7444944,9.7968616,9.2754889,25.77
22,5.7446456,9.7963457,9.2625179,25.76
23,5.7445903,9.7965345,9.2506628,25.78
24,5.7440948,9.7982244,9.2402668,25.77
25,5.7442961,9.7975378,9.2296391,25.79
26,5.7442498,9.7976961,9.2211065,25.78
27,5.7446022,9.7964945,9.2117863,25.79
28,5.7444448,9.7970304,9.2021484,25.79
29,5.7447014,9.7961559,9.1898155,25.72
30,5.7444372,9.7970572,9.1787090,25.79
31,5.7441559,9.7980165,9.1666241,25.79
32,5.7444425,9.7970390,9.1587486,25.72
