Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7439895,9.7985849,9.5021009,16.08
2,5.7443714,9.7972813,9.5195227,16.11
3,5.7429991,9.8019638,9.5085573,16.09
4,5.7433476,9.8007746,9.4711113,16.08
5,5.7448111,9.7957811,9.4587412,16.09
6,5.7435346,9.8001366,9.4504814,16.03
7,5.7426500,9.8031559,9.4357519,16.02
8,5.7446642,9.7962828,9.4289370,16.00
9,5.7439337,9.7987747,9.4468603,15.98
10,5.7425971,9.8033361,9.4309645,16.02
11,5.7442050,9.7978487,9.3961229,16.01
12,5.7446485,9.7963362,9.3836203,15.96
13,5.7431297,9.8015184,9.3746376,15.97
14,5.7428913,9.8023319,9.3598328,15.99
15,5.7446356,9.7963800,9.3640928,15.93
16,5.7437792,9.7993021,9.3736935,15.93
17,5.7424622,9.8037977,9.3496294,15.94
18,5.7446938,9.7961817,9.3224955,15.94
19,5.7445250,9.7967577,9.3118677,15.95
20,5.7429976,9.8019695,9.2983418,15.89
21,5.7427630,9.8027697,9.2872686,15.92
22,5.7449427,9.7953329,9.2987194,15.92
23,5.7436790,9.7996435,9.2990332,15.92
24,5.7427483,9.8028202,9.2664557,15.89
25,5.7445278,9.7967482,9.2482538,15.90
26,5.7443209,9.7974539,9.2384634,15.88
27,5.7427387,9.8028526,9.2234573,15.87
28,5.7430601,9.8017559,9.2152767,15.87
29,5.7448635,9.7956028,9.2286711,15.87
30,5.7435331,9.8001413,9.2232075,15.88
31,5.7426515,9.8031511,9.1855888,15.86
32,5.7447476,9.7959976,9.1741610,15.90
