Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7448516,9.7956429,9.4733286,28.80
2,5.7446060,9.7964811,9.4644003,28.82
3,5.7444696,9.7969465,9.4532118,28.82
4,5.7446055,9.7964821,9.4406567,28.80
5,5.7447081,9.7961330,9.4308634,28.81
6,5.7445574,9.7966471,9.4208269,28.84
7,5.7447071,9.7961359,9.4126081,28.83
8,5.7447548,9.7959738,9.4059172,28.85
9,5.7446594,9.7962990,9.3968782,28.83
10,5.7444744,9.7969303,9.3855286,28.82
11,5.7446995,9.7961626,9.3732424,28.84
12,5.7447934,9.7958422,9.3635216,28.81
13,5.7447319,9.7960520,9.3541536,28.78
14,5.7448130,9.7957754,9.3466349,28.81
15,5.7448072,9.7957945,9.3396883,28.81
16,5.7446132,9.7964573,9.3305273,28.82
17,5.7444487,9.7970181,9.3199472,28.81
18,5.7447071,9.7961359,9.3079977,28.80
19,5.7445383,9.7967119,9.2977467,28.80
20,5.7445283,9.7967463,9.2880831,28.82
21,5.7447395,9.7960253,9.2812729,28.84
22,5.7447901,9.7958527,9.2733192,28.85
23,5.7447033,9.7961493,9.2641602,28.86
24,5.7445154,9.7967901,9.2530746,28.88
25,5.7446032,9.7964907,9.2413197,28.89
26,5.7445726,9.7965956,9.2319393,28.87
27,5.7445774,9.7965784,9.2226486,28.94
28,5.7448559,9.7956285,9.2161913,28.88
29,5.7446175,9.7964420,9.2078953,28.88
30,5.7444801,9.7969103,9.1982088,28.88
31,5.7445087,9.7968130,9.1861839,28.92
32,5.7447209,9.7960892,9.1748753,28.91
