Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7438216,9.7991571,9.4978075,21.52
2,5.7458096,9.7923775,9.5249681,21.49
3,5.7435503,9.8000832,9.5256205,21.46
4,5.7426996,9.8029861,9.4789705,21.47
5,5.7469668,9.7884340,9.4565125,21.46
6,5.7446275,9.7964077,9.4560385,21.45
7,5.7415848,9.8067942,9.4339762,21.48
8,5.7447991,9.7958221,9.4251680,21.45
9,5.7453775,9.7938499,9.4569464,21.46
10,5.7430458,9.8018045,9.4489374,21.39
11,5.7433414,9.8007956,9.3977890,21.45
12,5.7470112,9.7882833,9.3899183,21.44
13,5.7441788,9.7979383,9.3827457,21.39
14,5.7414250,9.8073397,9.3594236,21.36
15,5.7453785,9.7938471,9.3605242,21.36
16,5.7451205,9.7947264,9.3922472,21.38
17,5.7430100,9.8019266,9.3719015,21.34
18,5.7438316,9.7991228,9.3222036,21.34
19,5.7468185,9.7889395,9.3237305,21.35
20,5.7435513,9.8000793,9.3102055,21.37
21,5.7417011,9.8063965,9.2857714,21.34
22,5.7456269,9.7930002,9.3015957,21.29
23,5.7446642,9.7962828,9.3221016,21.36
24,5.7424631,9.8037939,9.2931614,21.34
25,5.7449150,9.7954273,9.2522554,21.38
26,5.7465935,9.7897062,9.2526884,21.36
27,5.7424116,9.8039703,9.2377138,21.37
28,5.7426090,9.8032951,9.2144632,21.37
29,5.7459660,9.7918444,9.2372618,21.38
30,5.7441969,9.7978764,9.2487335,21.39
31,5.7424159,9.8039551,9.2150650,21.39
32,5.7457838,9.7924652,9.1806250,21.43
