Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7434826,9.8003139,9.4934072,16.30
2,5.7450800,9.7948647,9.5074167,16.27
3,5.7437162,9.7995167,9.4996843,16.30
4,5.7433667,9.8007088,9.4633627,16.28
5,5.7450371,9.7950106,9.4548273,16.27
6,5.7441568,9.7980137,9.4427366,16.26
7,5.7431622,9.8014078,9.4294109,16.25
8,5.7441711,9.7979641,9.4200001,16.25
9,5.7446518,9.7963247,9.4356260,16.23
10,5.7431684,9.8013859,9.4249458,16.21
11,5.7440505,9.7983761,9.3899221,16.20
12,5.7448530,9.7956390,9.3773565,16.20
13,5.7438259,9.7991428,9.3670959,16.20
14,5.7430363,9.8018370,9.3535128,16.27
15,5.7448263,9.7957296,9.3457994,16.28
16,5.7440948,9.7982244,9.3607092,16.31
17,5.7428198,9.8025761,9.3435507,16.30
18,5.7447400,9.7960243,9.3130236,16.39
19,5.7445731,9.7965937,9.2998152,16.36
20,5.7437201,9.7995033,9.2900906,16.38
21,5.7431493,9.8014517,9.2777271,16.34
22,5.7450409,9.7949982,9.2803173,16.32
23,5.7439556,9.7987003,9.2877245,16.32
24,5.7428555,9.8024540,9.2629070,16.31
25,5.7450638,9.7949200,9.2420931,16.32
26,5.7443886,9.7972221,9.2293081,16.29
27,5.7436419,9.7997704,9.2176390,16.37
28,5.7429161,9.8022470,9.2088079,16.31
29,5.7451606,9.7945900,9.2179127,16.35
30,5.7440557,9.7983580,9.2162857,16.33
31,5.7430854,9.8016691,9.1837835,16.37
32,5.7448893,9.7955151,9.1708155,16.31
