Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7441068,9.7981844,9.4798412,24.41
2,5.7448750,9.7955637,9.4756765,24.39
3,5.7445564,9.7966499,9.4810476,24.40
4,5.7442961,9.7975378,9.4560785,24.43
5,5.7448869,9.7955236,9.4444056,24.37
6,5.7446961,9.7961740,9.4323454,24.36
7,5.7439904,9.7985811,9.4213552,24.34
8,5.7440567,9.7983551,9.4148388,24.33
9,5.7450018,9.7951317,9.4137039,24.31
10,5.7439861,9.7985954,9.4126596,24.32
11,5.7441063,9.7981853,9.3880339,24.34
12,5.7450948,9.7948141,9.3774967,24.35
13,5.7446804,9.7962275,9.3640604,24.35
14,5.7438612,9.7990217,9.3543081,24.38
15,5.7442479,9.7977028,9.3493633,24.38
16,5.7450080,9.7951107,9.3489246,24.39
17,5.7438231,9.7991524,9.3412619,24.36
18,5.7443352,9.7974052,9.3179054,24.38
19,5.7451448,9.7946434,9.3064375,24.39
20,5.7444034,9.7971716,9.2939997,24.38
21,5.7437010,9.7995691,9.2846041,24.36
22,5.7444143,9.7971344,9.2775240,24.31
23,5.7449670,9.7952499,9.2817593,24.33
24,5.7436075,9.7998877,9.2674198,24.32
25,5.7446413,9.7963600,9.2466755,24.31
26,5.7451363,9.7946730,9.2357349,24.25
27,5.7443266,9.7974348,9.2232580,24.30
28,5.7436857,9.7996206,9.2135954,24.30
29,5.7445426,9.7966976,9.2067451,24.32
30,5.7448344,9.7957020,9.2143698,24.35
31,5.7437520,9.7993946,9.1950645,24.36
32,5.7446766,9.7962408,9.1786451,24.37
