Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7439795,9.7986183,9.4760933,18.90
2,5.7441244,9.7981243,9.4678831,18.90
3,5.7441101,9.7981730,9.4544220,18.86
4,5.7443457,9.7973690,9.4448147,18.89
5,5.7441015,9.7982025,9.4358826,18.83
6,5.7443228,9.7974472,9.4237127,18.81
7,5.7440491,9.7983809,9.4132833,18.81
8,5.7440882,9.7982473,9.4030933,18.85
9,5.7439923,9.7985744,9.3951187,18.73
10,5.7440162,9.7984934,9.3834066,18.76
11,5.7443142,9.7974758,9.3739433,18.77
12,5.7441254,9.7981205,9.3632755,18.77
13,5.7443142,9.7974758,9.3512917,18.79
14,5.7441568,9.7980137,9.3404303,18.73
15,5.7441497,9.7980375,9.3305798,18.82
16,5.7438793,9.7989597,9.3207560,18.80
17,5.7441463,9.7980490,9.3089104,18.78
18,5.7443686,9.7972908,9.3004484,18.79
19,5.7441349,9.7980881,9.2888384,18.79
20,5.7443047,9.7975092,9.2786827,18.82
21,5.7440014,9.7985439,9.2686653,18.78
22,5.7443666,9.7972975,9.2598400,18.79
23,5.7439713,9.7986460,9.2496367,18.77
24,5.7441483,9.7980423,9.2396307,18.77
25,5.7441301,9.7981043,9.2320080,18.78
26,5.7441874,9.7979088,9.2197046,18.77
27,5.7441282,9.7981110,9.2092791,18.82
28,5.7439041,9.7988758,9.1985960,18.81
29,5.7442164,9.7978106,9.1911793,18.77
30,5.7439556,9.7987003,9.1781864,18.82
31,5.7443628,9.7973108,9.1682720,18.77
32,5.7442536,9.7976828,9.1609907,18.81
