Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7448626,9.7956057,9.5276365,22.96
2,5.7468967,9.7886734,9.5267754,22.96
3,5.7434149,9.8005447,9.5148182,22.95
4,5.7411613,9.8082409,9.4863882,22.97
5,5.7483125,9.7838516,9.5236635,22.91
6,5.7446156,9.7964487,9.5607386,22.95
7,5.7404022,9.8108349,9.5070791,22.95
8,5.7471266,9.7878904,9.4564590,22.93
9,5.7456560,9.7929010,9.4563160,22.90
10,5.7427340,9.8028688,9.4443378,22.86
11,5.7424603,9.8038044,9.4187460,22.88
12,5.7482467,9.7840757,9.4715862,22.89
13,5.7435131,9.8002100,9.4884415,22.92
14,5.7409291,9.8090343,9.4262457,22.88
15,5.7476535,9.7860956,9.3885689,22.93
16,5.7450161,9.7950830,9.3879328,22.90
17,5.7413759,9.8075075,9.3707991,22.92
18,5.7443357,9.7974033,9.3528910,22.87
19,5.7480249,9.7848310,9.4111490,22.89
20,5.7418442,9.8059072,9.4111977,22.86
21,5.7421637,9.8048162,9.3387680,22.90
22,5.7481050,9.7845583,9.3286152,22.88
23,5.7445049,9.7968264,9.3171520,22.89
24,5.7409506,9.8089600,9.2973843,22.90
25,5.7453308,9.7940092,9.2906170,22.94
26,5.7477131,9.7858925,9.3513489,22.85
27,5.7409525,9.8089542,9.3334055,22.99
28,5.7433815,9.8006582,9.2606993,22.93
29,5.7476673,9.7860489,9.2616510,22.92
30,5.7442088,9.7978363,9.2476826,22.95
31,5.7405300,9.8103981,9.2231045,22.96
32,5.7465334,9.7899103,9.2374563,22.95
