Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7441702,9.7979679,9.4673090,18.68
2,5.7440605,9.7983418,9.4573030,18.72
3,5.7441206,9.7981367,9.4485979,18.72
4,5.7441316,9.7980995,9.4351387,18.71
5,5.7443562,9.7973337,9.4253254,18.74
6,5.7440796,9.7982769,9.4153633,18.70
7,5.7443714,9.7972813,9.4033947,18.73
8,5.7439675,9.7986593,9.3924417,18.69
9,5.7441387,9.7980747,9.3820934,18.76
10,5.7439280,9.7987947,9.3722658,18.71
11,5.7440391,9.7984152,9.3602409,18.69
12,5.7443180,9.7974634,9.3501663,18.67
13,5.7440829,9.7982655,9.3389797,18.67
14,5.7443037,9.7975121,9.3281660,18.68
15,5.7439590,9.7986889,9.3169117,18.67
16,5.7441821,9.7979269,9.3077040,18.66
17,5.7439713,9.7986460,9.2958164,18.65
18,5.7442570,9.7976713,9.2843742,18.70
19,5.7443395,9.7973909,9.2766809,18.69
20,5.7440152,9.7984962,9.2637062,18.69
21,5.7441406,9.7980680,9.2520790,18.69
22,5.7438440,9.7990808,9.2407818,18.72
23,5.7441602,9.7980022,9.2327204,18.76
24,5.7438765,9.7989702,9.2196093,18.78
25,5.7440844,9.7982607,9.2099123,18.79
26,5.7440801,9.7982750,9.2008867,18.77
27,5.7442083,9.7978373,9.1881008,18.82
28,5.7441411,9.7980671,9.1766567,18.83
29,5.7440424,9.7984037,9.1652088,18.85
30,5.7441559,9.7980165,9.1582003,18.93
31,5.7438836,9.7989454,9.1447153,18.92
32,5.7443857,9.7972326,9.1332912,18.94
