Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7447557,9.7959709,9.4869909,25.29
2,5.7456679,9.7928600,9.4997206,25.35
3,5.7440629,9.7983341,9.4937220,25.22
4,5.7442112,9.7978277,9.4599781,25.23
5,5.7458315,9.7923031,9.4471169,25.24
6,5.7446499,9.7963314,9.4405050,25.10
7,5.7432785,9.8010101,9.4187965,25.09
8,5.7449188,9.7954149,9.4127445,25.06
9,5.7451677,9.7945662,9.4280071,25.10
10,5.7436819,9.7996340,9.4156189,25.15
11,5.7446451,9.7963476,9.3822851,25.17
12,5.7457495,9.7925825,9.3715944,25.21
13,5.7442322,9.7977562,9.3650789,25.21
14,5.7435675,9.8000240,9.3508863,25.23
15,5.7455845,9.7931452,9.3495512,25.14
16,5.7445760,9.7965832,9.3610353,25.14
17,5.7433720,9.8006916,9.3416100,25.22
18,5.7446413,9.7963600,9.3117342,25.26
19,5.7459426,9.7919235,9.3035212,25.31
20,5.7437210,9.7995005,9.2942858,25.33
21,5.7440119,9.7985077,9.2808619,25.35
22,5.7455254,9.7933464,9.2875557,25.32
23,5.7446747,9.7962475,9.2918139,25.31
24,5.7435622,9.8000422,9.2641478,25.25
25,5.7449942,9.7951574,9.2393456,25.22
26,5.7456465,9.7929335,9.2299604,25.21
27,5.7434483,9.8004313,9.2173738,25.23
28,5.7443190,9.7974596,9.2055788,25.21
29,5.7454395,9.7936392,9.2152834,25.14
30,5.7448092,9.7957878,9.2156496,25.09
31,5.7438197,9.7991638,9.1843367,25.00
32,5.7447267,9.7960691,9.1603622,25.01
