Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7434673,9.8003664,9.4841890,15.44
2,5.7446518,9.7963247,9.4972534,15.46
3,5.7433062,9.8009157,9.4876204,15.49
4,5.7431202,9.8015509,9.4496517,15.48
5,5.7445812,9.7965660,9.4392986,15.54
6,5.7437582,9.7993736,9.4258242,15.55
7,5.7427597,9.8027811,9.4122000,15.54
8,5.7440863,9.7982540,9.4016428,15.53
9,5.7443428,9.7973785,9.4171858,15.51
10,5.7428198,9.8025761,9.4047585,15.46
11,5.7439365,9.7987642,9.3709860,15.45
12,5.7445254,9.7967558,9.3577347,15.51
13,5.7434778,9.8003302,9.3466349,15.53
14,5.7429447,9.8021498,9.3339396,15.49
15,5.7446260,9.7964134,9.3275785,15.48
16,5.7439241,9.7988071,9.3411779,15.43
17,5.7425957,9.8033419,9.3223400,15.51
18,5.7445631,9.7966270,9.2938986,15.47
19,5.7442989,9.7975292,9.2803431,15.48
20,5.7434235,9.8005161,9.2694597,15.49
21,5.7427692,9.8027487,9.2567940,15.47
22,5.7447081,9.7961330,9.2601576,15.48
23,5.7436304,9.7998095,9.2639742,15.47
24,5.7425518,9.8034906,9.2362080,15.48
25,5.7446728,9.7962532,9.2168274,15.53
26,5.7440376,9.7984200,9.2041607,15.55
27,5.7432070,9.8012543,9.1920614,15.55
28,5.7427340,9.8028688,9.1830711,15.51
29,5.7448454,9.7956648,9.1917181,15.50
30,5.7437496,9.7994032,9.1867495,15.46
31,5.7427731,9.8027363,9.1529884,15.48
32,5.7445545,9.7966566,9.1404877,15.45
