Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7442007,9.7978640,9.5087729,26.56
2,5.7444582,9.7969856,9.5011415,26.57
3,5.7444773,9.7969208,9.4957790,26.59
4,5.7445116,9.7968025,9.4805574,26.62
5,5.7449827,9.7951965,9.4684429,26.62
6,5.7447453,9.7960062,9.4567041,26.61
7,5.7441244,9.7981243,9.4463291,26.61
8,5.7443829,9.7972422,9.4369392,26.58
9,5.7444105,9.7971478,9.4285116,26.58
10,5.7444634,9.7969675,9.4227114,26.61
11,5.7445211,9.7967710,9.4093046,26.61
12,5.7451324,9.7946854,9.3988256,26.63
13,5.7446480,9.7963381,9.3865585,26.61
14,5.7440577,9.7983513,9.3770723,26.62
15,5.7443991,9.7971869,9.3694649,26.59
16,5.7445049,9.7968264,9.3604650,26.61
17,5.7443810,9.7972488,9.3529530,26.61
18,5.7446375,9.7963734,9.3397379,26.57
19,5.7450466,9.7949791,9.3285112,26.57
20,5.7444839,9.7968979,9.3151951,26.55
21,5.7438593,9.7990284,9.3048334,26.59
22,5.7443557,9.7973347,9.2993031,26.57
23,5.7445021,9.7968359,9.2903109,26.52
24,5.7444363,9.7970600,9.2789040,26.58
25,5.7446012,9.7964973,9.2668171,26.55
26,5.7451010,9.7947931,9.2558327,26.55
27,5.7443924,9.7972097,9.2432928,26.55
28,5.7438555,9.7990417,9.2335758,26.58
29,5.7446098,9.7964678,9.2282228,26.59
30,5.7446108,9.7964649,9.2220287,26.56
31,5.7446575,9.7963057,9.2089987,26.55
32,5.7447081,9.7961330,9.1974211,26.55
