Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7444038,9.7971706,9.4753180,26.71
2,5.7446127,9.7964582,9.4675131,26.70
3,5.7444687,9.7969494,9.4607325,26.69
4,5.7445860,9.7965488,9.4438705,26.74
5,5.7455149,9.7933817,9.4339066,26.76
6,5.7447987,9.7958241,9.4209986,26.75
7,5.7441745,9.7979527,9.4097443,26.81
8,5.7445087,9.7968130,9.4030380,26.79
9,5.7449126,9.7954359,9.3941479,26.77
10,5.7442851,9.7975760,9.3815641,26.77
11,5.7447662,9.7959347,9.3652563,26.75
12,5.7451687,9.7945623,9.3513918,26.70
13,5.7445264,9.7967529,9.3317652,26.63
14,5.7437444,9.7994204,9.3179903,26.61
15,5.7444525,9.7970047,9.3107347,26.62
16,5.7451687,9.7945623,9.3066587,26.60
17,5.7448988,9.7954826,9.2925777,26.57
18,5.7442579,9.7976685,9.2715712,26.57
19,5.7448645,9.7955990,9.2555208,26.61
20,5.7443895,9.7972193,9.2377319,26.62
21,5.7437315,9.7994642,9.2260818,26.55
22,5.7450900,9.7948303,9.2196884,26.58
23,5.7449503,9.7953072,9.2175627,26.54
24,5.7447748,9.7959061,9.2019119,26.55
25,5.7448215,9.7957468,9.1889677,26.55
26,5.7452459,9.7942991,9.1773567,26.54
27,5.7443419,9.7973814,9.1620216,26.56
28,5.7438583,9.7990313,9.1495218,26.57
29,5.7446537,9.7963190,9.1400528,26.60
30,5.7447357,9.7960386,9.1370087,26.67
31,5.7446375,9.7963734,9.1188164,26.67
32,5.7448416,9.7956772,9.1059341,26.76
