Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7440119,9.7985077,9.5266352,26.37
2,5.7454662,9.7935476,9.5382938,26.41
3,5.7444201,9.7971153,9.5384912,26.46
4,5.7437167,9.7995148,9.5054922,26.52
5,5.7459154,9.7920170,9.4920235,26.53
6,5.7454672,9.7935448,9.4891596,26.56
7,5.7431936,9.8013000,9.4701700,26.58
8,5.7442608,9.7976589,9.4637423,26.56
9,5.7456732,9.7928429,9.4775352,26.55
10,5.7440691,9.7983122,9.4712353,26.56
11,5.7441473,9.7980461,9.4386559,26.53
12,5.7460890,9.7914257,9.4255819,26.52
13,5.7449322,9.7953682,9.4238615,26.52
14,5.7432823,9.8009968,9.4039850,26.53
15,5.7445102,9.7968082,9.4014883,26.54
16,5.7453833,9.7938309,9.4159689,26.58
17,5.7437997,9.7992315,9.4059000,26.58
18,5.7447824,9.7958794,9.3733864,26.56
19,5.7457623,9.7925386,9.3634920,26.58
20,5.7443409,9.7973852,9.3596172,26.61
21,5.7433305,9.8008327,9.3411932,26.64
22,5.7451916,9.7944841,9.3379803,26.66
23,5.7451811,9.7945194,9.3532352,26.61
24,5.7436523,9.7997351,9.3370285,26.59
25,5.7451673,9.7945671,9.3080778,26.62
26,5.7462788,9.7907791,9.3027735,26.63
27,5.7440205,9.7984781,9.2956619,26.63
28,5.7436981,9.7995787,9.2800980,26.59
29,5.7457666,9.7925234,9.2797499,26.62
30,5.7446733,9.7962513,9.2916222,26.58
31,5.7434649,9.8003740,9.2694874,26.61
32,5.7450237,9.7950563,9.2486773,26.63
