Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7445326,9.7967319,9.5015011,25.83
2,5.7437840,9.7992849,9.4795971,25.84
3,5.7446260,9.7964134,9.4672079,25.83
4,5.7448196,9.7957525,9.4577866,25.82
5,5.7453394,9.7939806,9.4533424,25.82
6,5.7443938,9.7972050,9.4408159,25.84
7,5.7445831,9.7965593,9.4274359,25.84
8,5.7446051,9.7964840,9.4138842,25.86
9,5.7449379,9.7953491,9.4047222,25.84
10,5.7442770,9.7976036,9.3874769,25.84
11,5.7443633,9.7973089,9.3725424,25.85
12,5.7442789,9.7975969,9.3570061,25.89
13,5.7445111,9.7968054,9.3438921,25.96
14,5.7445889,9.7965393,9.3293467,25.96
15,5.7446051,9.7964840,9.3139105,25.99
16,5.7449899,9.7951717,9.3036337,25.97
17,5.7447147,9.7961102,9.2932940,25.96
18,5.7445846,9.7965546,9.2826185,25.98
19,5.7444568,9.7969904,9.2718964,26.04
20,5.7446342,9.7963848,9.2614346,26.07
21,5.7447009,9.7961569,9.2491093,26.07
22,5.7448416,9.7956772,9.2382040,26.06
23,5.7444229,9.7971058,9.2266636,26.09
24,5.7444782,9.7969170,9.2145758,26.07
25,5.7447939,9.7958403,9.2050371,26.11
26,5.7447314,9.7960529,9.1944370,26.09
27,5.7443962,9.7971964,9.1816082,26.08
28,5.7446890,9.7961979,9.1712370,26.11
29,5.7446518,9.7963247,9.1609383,26.12
30,5.7445874,9.7965450,9.1503296,26.12
31,5.7446971,9.7961702,9.1411276,26.14
32,5.7447863,9.7958660,9.1315737,26.10
