Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7437015,9.7995663,9.4880800,23.10
2,5.7445598,9.7966394,9.4789333,23.05
3,5.7446742,9.7962484,9.4870329,23.16
4,5.7439332,9.7987766,9.4614363,23.12
5,5.7452278,9.7943602,9.4490061,23.04
6,5.7445884,9.7965412,9.4334917,23.00
7,5.7442217,9.7977924,9.4216919,22.87
8,5.7435226,9.8001776,9.4093428,22.86
9,5.7447047,9.7961445,9.4034748,22.88
10,5.7443371,9.7973986,9.4090567,22.83
11,5.7440209,9.7984772,9.3807592,22.82
12,5.7452230,9.7943773,9.3720522,22.81
13,5.7445126,9.7967997,9.3569984,22.78
14,5.7439222,9.7988138,9.3462706,22.74
15,5.7434416,9.8004541,9.3379154,22.74
16,5.7448807,9.7955446,9.3343029,22.77
17,5.7439075,9.7988644,9.3327999,22.83
18,5.7443466,9.7973661,9.3058195,22.87
19,5.7453279,9.7940187,9.2964230,22.88
20,5.7445307,9.7967377,9.2824812,22.87
21,5.7436008,9.7999105,9.2704430,22.88
22,5.7438374,9.7991028,9.2606335,22.88
23,5.7452798,9.7941837,9.2614012,22.90
24,5.7436547,9.7997265,9.2532206,22.90
25,5.7446499,9.7963314,9.2322111,22.92
26,5.7449856,9.7951860,9.2228642,22.92
27,5.7441702,9.7979679,9.2086697,22.98
28,5.7432561,9.8010874,9.1936979,23.03
29,5.7438869,9.7989340,9.1830511,23.10
30,5.7449808,9.7952032,9.1845150,23.11
31,5.7435007,9.8002520,9.1678181,23.12
32,5.7450752,9.7948809,9.1484385,23.14
