Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7445078,9.7968159,9.5084639,29.33
2,5.7450075,9.7951117,9.5052958,29.26
3,5.7448759,9.7955608,9.4984312,29.31
4,5.7445574,9.7966471,9.4869909,29.35
5,5.7450771,9.7948742,9.4755831,29.33
6,5.7447844,9.7958727,9.4630299,29.28
7,5.7446418,9.7963591,9.4537458,29.33
8,5.7447300,9.7960587,9.4446745,29.30
9,5.7448568,9.7956257,9.4407730,29.25
10,5.7449799,9.7952061,9.4339724,29.27
11,5.7446947,9.7961788,9.4198093,29.24
12,5.7452688,9.7942209,9.4098301,29.26
13,5.7449675,9.7952490,9.3993273,29.29
14,5.7446942,9.7961798,9.3920374,29.31
15,5.7447219,9.7960854,9.3828001,29.35
16,5.7447758,9.7959023,9.3775024,29.36
17,5.7448387,9.7956867,9.3688478,29.35
18,5.7445059,9.7968225,9.3549318,29.30
19,5.7450681,9.7949057,9.3453722,29.38
20,5.7447839,9.7958746,9.3356743,29.34
21,5.7444620,9.7969723,9.3274021,29.35
22,5.7448845,9.7955313,9.3208284,29.33
23,5.7445717,9.7965984,9.3125591,29.34
24,5.7449260,9.7953892,9.3028107,29.40
25,5.7445793,9.7965727,9.2903509,29.36
26,5.7450447,9.7949858,9.2817116,29.34
27,5.7446404,9.7963638,9.2709837,29.34
28,5.7444196,9.7971172,9.2615604,29.36
29,5.7449164,9.7954226,9.2569056,29.32
30,5.7447462,9.7960033,9.2497969,29.37
31,5.7448330,9.7957067,9.2393198,29.35
32,5.7449589,9.7952776,9.2263365,29.37
