Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7432528,9.8010979,9.4916573,22.85
2,5.7450552,9.7949495,9.4851484,22.88
3,5.7442579,9.7976685,9.4975185,22.94
4,5.7433476,9.8007746,9.4714594,22.99
5,5.7454133,9.7937279,9.4502840,23.01
6,5.7454348,9.7936554,9.4402647,22.99
7,5.7436991,9.7995749,9.4266768,23.05
8,5.7439232,9.7988110,9.4125319,23.01
9,5.7454410,9.7936335,9.4174795,22.94
10,5.7443590,9.7973232,9.4219732,22.91
11,5.7433395,9.8008022,9.3900118,22.91
12,5.7450891,9.7948341,9.3773489,22.96
13,5.7453594,9.7939119,9.3696270,22.97
14,5.7431087,9.8015900,9.3522644,22.99
15,5.7434144,9.8005466,9.3406105,23.04
16,5.7456708,9.7928505,9.3498573,23.07
17,5.7443027,9.7975159,9.3452139,23.02
18,5.7436976,9.7995796,9.3101635,23.02
19,5.7455950,9.7931089,9.3014565,22.98
20,5.7451787,9.7945280,9.2952509,22.97
21,5.7432880,9.8009777,9.2786512,22.91
22,5.7437592,9.7993698,9.2693338,22.86
23,5.7454948,9.7934504,9.2828178,22.84
24,5.7438107,9.7991943,9.2761583,22.85
25,5.7441769,9.7979450,9.2417173,22.84
26,5.7454581,9.7935753,9.2293386,22.86
27,5.7443962,9.7971964,9.2248449,22.87
28,5.7433052,9.8009186,9.2079887,22.92
29,5.7446790,9.7962322,9.2001781,22.90
30,5.7454615,9.7935638,9.2171154,22.87
31,5.7433367,9.8008118,9.2060728,22.82
32,5.7441401,9.7980709,9.1725559,22.81
