Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7443085,9.7974958,9.5075293,28.84
2,5.7447624,9.7959471,9.5013638,28.84
3,5.7446151,9.7964506,9.4981785,28.84
4,5.7445688,9.7966080,9.4811087,28.86
5,5.7451916,9.7944841,9.4693766,28.81
6,5.7449608,9.7952709,9.4570999,28.80
7,5.7445240,9.7967615,9.4464149,28.76
8,5.7444644,9.7969646,9.4363651,28.73
9,5.7445974,9.7965107,9.4328928,28.78
10,5.7447052,9.7961426,9.4282169,28.78
11,5.7446079,9.7964745,9.4120798,28.74
12,5.7451515,9.7946205,9.4002571,28.81
13,5.7447796,9.7958889,9.3862858,28.78
14,5.7443962,9.7971964,9.3775415,28.77
15,5.7448163,9.7957640,9.3697577,28.77
16,5.7448378,9.7956905,9.3654594,28.76
17,5.7446194,9.7964354,9.3572054,28.78
18,5.7445860,9.7965488,9.3412952,28.73
19,5.7449455,9.7953234,9.3308039,28.72
20,5.7446904,9.7961931,9.3168621,28.73
21,5.7442012,9.7978621,9.3101606,28.76
22,5.7448921,9.7955055,9.3046942,28.79
23,5.7449145,9.7954292,9.2995911,28.81
24,5.7446194,9.7964354,9.2873306,28.83
25,5.7447195,9.7960939,9.2715225,28.83
26,5.7450800,9.7948647,9.2601318,28.82
27,5.7445903,9.7965345,9.2484970,28.80
28,5.7441769,9.7979450,9.2402897,28.78
29,5.7449741,9.7952261,9.2354679,28.78
30,5.7447386,9.7960291,9.2311897,28.79
31,5.7446394,9.7963667,9.2172165,28.74
32,5.7448215,9.7957468,9.2024174,28.77
