Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7433662,9.8007116,9.4926958,22.81
2,5.7451110,9.7947588,9.4822102,22.78
3,5.7448683,9.7955866,9.4915180,22.76
4,5.7432632,9.8010626,9.4604502,22.69
5,5.7458081,9.7923822,9.4399824,22.64
6,5.7450829,9.7948551,9.4269009,22.63
7,5.7433352,9.8008165,9.4141178,22.67
8,5.7433357,9.8008146,9.3990507,22.71
9,5.7450242,9.7950544,9.3977814,22.63
10,5.7444067,9.7971611,9.4043465,22.74
11,5.7433558,9.8007469,9.3710060,22.76
12,5.7451744,9.7945423,9.3593616,22.80
13,5.7449694,9.7952423,9.3485174,22.79
14,5.7434826,9.8003139,9.3329372,22.80
15,5.7433920,9.8006229,9.3220129,22.76
16,5.7456532,9.7929106,9.3260326,22.72
17,5.7438550,9.7990427,9.3263302,22.76
18,5.7438297,9.7991295,9.2920160,22.79
19,5.7452507,9.7942829,9.2851648,22.82
20,5.7447543,9.7959747,9.2732458,22.84
21,5.7437139,9.7995253,9.2576036,22.90
22,5.7435818,9.7999754,9.2468128,22.90
23,5.7454872,9.7934761,9.2570572,22.96
24,5.7437010,9.7995691,9.2475338,22.93
25,5.7441511,9.7980328,9.2146425,22.91
26,5.7450728,9.7948885,9.2030115,22.87
27,5.7442026,9.7978573,9.1943865,22.90
28,5.7432795,9.8010073,9.1768074,22.82
29,5.7440133,9.7985029,9.1658134,22.81
30,5.7452292,9.7943563,9.1788626,22.77
31,5.7430682,9.8017282,9.1641788,22.78
32,5.7451468,9.7946367,9.1358404,22.82
