Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7433186,9.8008738,9.4932575,22.89
2,5.7441282,9.7981110,9.4821157,22.97
3,5.7444696,9.7969465,9.4804382,22.97
4,5.7446251,9.7964163,9.4598274,22.97
5,5.7447929,9.7958431,9.4514637,23.00
6,5.7441406,9.7980680,9.4348526,23.04
7,5.7444882,9.7968826,9.4233828,23.06
8,5.7438607,9.7990236,9.4102440,23.05
9,5.7444487,9.7970181,9.4002380,22.97
10,5.7442865,9.7975712,9.3994513,22.99
11,5.7442722,9.7976198,9.3790932,22.98
12,5.7452292,9.7943563,9.3703318,22.92
13,5.7444873,9.7968864,9.3564234,22.95
14,5.7439637,9.7986727,9.3475552,22.93
15,5.7439489,9.7987232,9.3366623,22.96
16,5.7448673,9.7955894,9.3299704,22.99
17,5.7439051,9.7988720,9.3251295,22.97
18,5.7441959,9.7978802,9.3063622,22.99
19,5.7451377,9.7946682,9.2966642,23.04
20,5.7443876,9.7972260,9.2802629,23.05
21,5.7439194,9.7988234,9.2727976,23.04
22,5.7441139,9.7981596,9.2643757,23.06
23,5.7448745,9.7955656,9.2585297,23.05
24,5.7437658,9.7993469,9.2489052,23.07
25,5.7446380,9.7963724,9.2336273,23.14
26,5.7454171,9.7937155,9.2242603,23.17
27,5.7436285,9.7998161,9.2080688,23.18
28,5.7440262,9.7984591,9.1945648,23.17
29,5.7443414,9.7973843,9.1865778,23.14
30,5.7443972,9.7971935,9.1859140,23.16
31,5.7440944,9.7982264,9.1652756,23.14
32,5.7454252,9.7936878,9.1508913,23.14
