Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7436647,9.7996922,9.5174952,23.51
2,5.7437325,9.7994614,9.5067081,23.57
3,5.7448173,9.7957611,9.5024071,23.53
4,5.7447433,9.7960129,9.4886465,23.50
5,5.7445574,9.7966471,9.4739132,23.37
6,5.7440901,9.7982407,9.4600601,23.22
7,5.7434368,9.8004704,9.4456673,23.20
8,5.7436738,9.7996607,9.4311438,23.15
9,5.7443008,9.7975225,9.4187269,23.13
10,5.7439423,9.7987452,9.4079933,23.10
11,5.7446399,9.7963657,9.3957262,23.13
12,5.7450919,9.7948236,9.3855228,23.13
13,5.7442598,9.7976618,9.3725281,23.17
14,5.7435064,9.8002319,9.3613300,23.24
15,5.7440076,9.7985220,9.3528032,23.25
16,5.7444253,9.7970972,9.3440886,23.30
17,5.7438912,9.7989197,9.3315268,23.37
18,5.7445245,9.7967587,9.3185453,23.41
19,5.7447605,9.7959538,9.3074617,23.42
20,5.7442522,9.7976885,9.2919760,23.43
21,5.7435017,9.8002491,9.2782478,23.52
22,5.7443686,9.7972908,9.2700939,23.57
23,5.7445164,9.7967863,9.2624397,23.52
24,5.7444277,9.7970896,9.2482920,23.48
25,5.7445364,9.7967186,9.2382917,23.50
26,5.7445660,9.7966175,9.2290869,23.48
27,5.7439246,9.7988052,9.2153416,23.51
28,5.7433419,9.8007936,9.2021008,23.54
29,5.7440424,9.7984037,9.1913748,23.61
30,5.7441478,9.7980442,9.1856718,23.59
31,5.7443185,9.7974615,9.1670046,23.62
32,5.7444477,9.7970209,9.1546659,23.65
