Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7455225,9.7933559,9.5652933,24.29
2,5.7470837,9.7880363,9.5658998,24.30
3,5.7433004,9.8009357,9.5537720,24.33
4,5.7406468,9.8099985,9.5248327,24.36
5,5.7491255,9.7810850,9.5622444,24.37
6,5.7451782,9.7945299,9.6121082,24.36
7,5.7395062,9.8138981,9.5526714,24.37
8,5.7469592,9.7884598,9.4906301,24.41
9,5.7462325,9.7909355,9.4914074,24.41
10,5.7431211,9.8015471,9.4757099,24.36
11,5.7406378,9.8100300,9.4463615,24.42
12,5.7497253,9.7790442,9.5082674,24.39
13,5.7440910,9.7982378,9.5340538,24.46
14,5.7392268,9.8148537,9.4650660,24.47
15,5.7484016,9.7835484,9.4228477,24.43
16,5.7456455,9.7929363,9.4174652,24.43
17,5.7423124,9.8043079,9.3977737,24.36
18,5.7424231,9.8039303,9.3740845,24.37
19,5.7493296,9.7803898,9.4460468,24.34
20,5.7429013,9.8022976,9.4543219,24.38
21,5.7400570,9.8120146,9.3770933,24.36
22,5.7485085,9.7831850,9.3535719,24.40
23,5.7451506,9.7946243,9.3449583,24.40
24,5.7408810,9.8091984,9.3270645,24.42
25,5.7443523,9.7973471,9.3071432,24.49
26,5.7489491,9.7816849,9.3825264,24.46
27,5.7412500,9.8079376,9.3697624,24.48
28,5.7419748,9.8054609,9.2817450,24.51
29,5.7482371,9.7841082,9.2721357,24.47
30,5.7444735,9.7969332,9.2633829,24.45
31,5.7405252,9.8104143,9.2408323,24.46
32,5.7462168,9.7909899,9.2387991,24.40
