Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7442899,9.7975597,9.5082312,27.68
2,5.7447882,9.7958593,9.5025787,27.69
3,5.7446785,9.7962341,9.4938297,27.68
4,5.7446074,9.7964764,9.4827967,27.68
5,5.7449389,9.7953463,9.4705372,27.66
6,5.7447987,9.7958241,9.4598751,27.67
7,5.7445545,9.7966566,9.4500275,27.66
8,5.7445164,9.7967863,9.4391708,27.66
9,5.7446742,9.7962484,9.4331665,27.66
10,5.7446175,9.7964420,9.4238787,27.64
11,5.7446108,9.7964649,9.4139128,27.63
12,5.7451105,9.7947607,9.4024868,27.62
13,5.7448406,9.7956810,9.3905344,27.60
14,5.7445364,9.7967186,9.3815517,27.62
15,5.7447386,9.7960291,9.3700953,27.60
16,5.7445993,9.7965040,9.3631115,27.61
17,5.7447233,9.7960815,9.3555279,27.59
18,5.7445126,9.7967997,9.3438158,27.59
19,5.7450876,9.7948389,9.3341732,27.61
20,5.7446337,9.7963867,9.3223124,27.63
21,5.7443514,9.7973499,9.3124228,27.59
22,5.7446318,9.7963934,9.3043184,27.60
23,5.7445326,9.7967319,9.2955418,27.62
24,5.7446585,9.7963018,9.2871046,27.62
25,5.7444305,9.7970800,9.2768002,27.60
26,5.7449646,9.7952585,9.2655201,27.62
27,5.7445488,9.7966766,9.2535629,27.68
28,5.7442369,9.7977400,9.2441139,27.67
29,5.7447877,9.7958612,9.2383385,27.69
30,5.7447133,9.7961149,9.2293625,27.67
31,5.7448597,9.7956161,9.2186365,27.66
32,5.7446041,9.7964878,9.2063885,27.68
