Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7440758,9.7982903,9.4759293,26.76
2,5.7446718,9.7962570,9.4669180,26.78
3,5.7445974,9.7965107,9.4562836,26.85
4,5.7450151,9.7950859,9.4475842,26.91
5,5.7451448,9.7946434,9.4345121,26.94
6,5.7450099,9.7951040,9.4215231,26.93
7,5.7441039,9.7981939,9.3997145,26.89
8,5.7446861,9.7962074,9.3811483,26.87
9,5.7448101,9.7957850,9.3738747,26.83
10,5.7446675,9.7962713,9.3630943,26.83
11,5.7446604,9.7962952,9.3539162,26.76
12,5.7447243,9.7960777,9.3357420,26.84
13,5.7446976,9.7961693,9.3233776,26.84
14,5.7445068,9.7968197,9.3090277,26.86
15,5.7444391,9.7970505,9.2953663,26.90
16,5.7448606,9.7956123,9.2866430,26.87
17,5.7442217,9.7977924,9.2700262,26.81
18,5.7445726,9.7965956,9.2617989,26.84
19,5.7457724,9.7925043,9.2549028,26.81
20,5.7446918,9.7961884,9.2406492,26.78
21,5.7441144,9.7981586,9.2253847,26.80
22,5.7448492,9.7956524,9.2152996,26.80
23,5.7443738,9.7972727,9.2017670,26.79
24,5.7448416,9.7956772,9.1903906,26.81
25,5.7445192,9.7967768,9.1706381,26.79
26,5.7447863,9.7958660,9.1557760,26.80
27,5.7444601,9.7969790,9.1395159,26.77
28,5.7442274,9.7977724,9.1255999,26.73
29,5.7447128,9.7961168,9.1102505,26.67
30,5.7447090,9.7961302,9.0974779,26.65
31,5.7445593,9.7966404,9.0852919,26.74
32,5.7446995,9.7961626,9.0750303,26.76
