Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7450061,9.7951174,9.5314083,26.18
2,5.7455320,9.7933235,9.5224543,26.23
3,5.7438498,9.7990608,9.5121880,26.25
4,5.7439065,9.7988672,9.4991875,26.26
5,5.7455668,9.7932053,9.4984722,26.27
6,5.7447457,9.7960043,9.5087671,26.31
7,5.7436714,9.7996702,9.4814987,26.29
8,5.7451544,9.7946110,9.4649372,26.34
9,5.7454691,9.7935381,9.4569607,26.32
10,5.7437162,9.7995167,9.4444857,26.36
11,5.7441978,9.7978735,9.4319344,26.39
12,5.7457595,9.7925482,9.4395695,26.38
13,5.7444477,9.7970209,9.4427481,26.42
14,5.7439599,9.7986851,9.4104481,26.43
15,5.7456694,9.7928553,9.3997517,26.44
16,5.7451782,9.7945299,9.3939114,26.39
17,5.7434783,9.8003283,9.3777494,26.38
18,5.7441196,9.7981396,9.3707466,26.38
19,5.7456226,9.7930145,9.3802748,26.38
20,5.7439842,9.7986021,9.3759632,26.33
21,5.7441301,9.7981043,9.3436928,26.29
22,5.7456641,9.7928734,9.3334665,26.30
23,5.7448068,9.7957964,9.3272905,26.29
24,5.7434883,9.8002939,9.3090839,26.27
25,5.7442107,9.7978296,9.3067760,26.30
26,5.7454963,9.7934456,9.3178844,26.31
27,5.7435122,9.8002129,9.3083372,26.33
28,5.7447538,9.7959766,9.2782412,26.33
29,5.7456970,9.7927608,9.2663698,26.31
30,5.7443891,9.7972212,9.2608967,26.38
31,5.7434740,9.8003435,9.2437153,26.39
32,5.7449036,9.7954664,9.2392092,26.40
