Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7436123,9.7998705,9.4782362,25.55
2,5.7445550,9.7966547,9.4709263,25.55
3,5.7448483,9.7956553,9.4752932,25.57
4,5.7442198,9.7977982,9.4559660,25.57
5,5.7448988,9.7954826,9.4414549,25.58
6,5.7449436,9.7953300,9.4286270,25.58
7,5.7443080,9.7974977,9.4174156,25.63
8,5.7434225,9.8005190,9.4069223,25.63
9,5.7445393,9.7967081,9.3967466,25.64
10,5.7445793,9.7965727,9.4031839,25.64
11,5.7443018,9.7975187,9.3800640,25.68
12,5.7452235,9.7943754,9.3695126,25.72
13,5.7451210,9.7947254,9.3571720,25.70
14,5.7439518,9.7987127,9.3444376,25.71
15,5.7441545,9.7980213,9.3359442,25.74
16,5.7448153,9.7957668,9.3319826,25.72
17,5.7443514,9.7973499,9.3348322,25.68
18,5.7445002,9.7968426,9.3110008,25.63
19,5.7451587,9.7945967,9.2978144,25.57
20,5.7447028,9.7961502,9.2817049,25.55
21,5.7436647,9.7996922,9.2698669,25.61
22,5.7443981,9.7971907,9.2646418,25.56
23,5.7446051,9.7964840,9.2582598,25.64
24,5.7437277,9.7994776,9.2515259,25.54
25,5.7442961,9.7975378,9.2308521,25.59
26,5.7452993,9.7941170,9.2198601,25.61
27,5.7442999,9.7975254,9.2063866,25.62
28,5.7436385,9.7997818,9.1956453,25.67
29,5.7442570,9.7976713,9.1910172,25.67
30,5.7450957,9.7948103,9.1869144,25.70
31,5.7441306,9.7981024,9.1767807,25.73
32,5.7445583,9.7966433,9.1580000,25.71
